"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"71","FR","FR70",247311,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"72","FR","FR71",574874,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"73","FR","FR72",579497,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"74","FR","FR73",428751,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"75","FR","FR74",760979,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"76","FR","FR75",2268265,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"77","FR","FR76",1275952,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"78","FR","FR77",1347008,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"79","FR","FR78",1435448,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"80","FR","FR79",380569,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"81","FR","FR80",583388,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"82","FR","FR81",387099,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"83","FR","FR82",248227,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"84","FR","FR83",1026222,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"85","FR","FR84",555240,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"86","FR","FR85",654096,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"87","FR","FR86",438566,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"88","FR","FR87",384781,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"89","FR","FR88",392846,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"90","FR","FR89",353366,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"91","FR","FR90",146475,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"92","FR","FR91",1233645,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"93","FR","FR92",1590749,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"94","FR","FR93",1534895,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"95","FR","FR94",1340868,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
"96","FR","FR95",1187836,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64207050,NA,NA,0,0,0.0142291326741614,281,0.000948849918810433,281,0.0142291326741614,0.000948849918810433
