"","countriesAndTerritories","geoId","date","cases","deaths","cum_cases","cum_deaths","cum_deaths_400","est_ccfr","est_ccfr_low","est_ccfr_high","sample_size","mean_cases","mean_reach","dunbar_reach","cases_p_reach","cases_p_reach_low","cases_p_reach_high","cases_p_reach_error","cases_p_reach_prop","cases_p_reach_prop_median","estimated_cases","estimate_cases_low","estimate_cases_high","estimate_cases_error","prop_cases","dunbar_cases","prop_cases_low","prop_cases_high","prop_cases_error","dunbar_cases_low","dunbar_cases_high","dunbar_cases_error","survey_twitter"
"83","Spain","ES","2020/03/22",4946,324,24926,1326,530400,468011.723651764,466616.9497603,469410.666689268,181,3.33701657458564,96.8618784530387,27150,0.0165055741231888,0.0112829075337403,0.0217282407126374,0.00269974156242703,0.0185539524367373,0.02,774682.981398294,529559.067854499,1019806.89494209,126142.047127708,870822.855547958,1039452.83226519,629103.120912134,1112542.59018378,130507.738933115,957483.945534752,1121421.71899564,81968.886730442,NA
"84","Spain","ES","2020/03/23",3646,394,28572,1720,688000,558007.70602941,556490.921912673,559528.624326898,NA,NA,NA,NA,0.0175164596333015,0.0123431749055376,0.0226897443610655,NA,0.0200992378170273,NA,822128.516766024,579322.322530341,1064934.71100171,NA,943350.250025708,NA,704899.691988904,1181800.80806251,NA,NA,NA,NA,NA
"85","Spain","ES","2020/03/24",4517,462,33089,2182,872800,663652.20321021,661969.251015209,665339.434045171,119,4.42857142857143,103.731092436975,17850,0.0196448071095143,0.0144855164863313,0.0248040977326974,0.00356634330252712,0.0240679216317734,0.03,922021.713816811,679872.327673825,1164171.0999598,166632.929315108,1129618.94852044,1379463.06571429,889750.957516369,1369486.93952451,176368.62535254,1263439.74190378,1495486.38952479,116023.323810506,NA
"86","Spain","ES","2020/03/25",6584,514,39673,2696,1078400,805708.657491027,803767.023784041,807654.981539045,186,3.16666666666667,88.3548387096774,27900,0.0308131085205394,0.0251128817540813,0.0365133352869975,0.00284208417360674,0.0343759555019628,0.02,1446201.78593515,1178663.76313579,1713739.8087345,132792.827564474,1613422.68362918,986390.256666667,1346066.83204438,1880778.53521398,136922.097110992,907575.794390236,1065204.7189431,78814.4622764304,NA
"87","Spain","ES","2020/03/26",7937,738,47610,3434,1373600,1019098.22230329,1016765.47542647,1021436.32115962,46,3.73913043478261,78.7391304347826,6900,0.0313173351560564,0.0254553632422219,0.0371793070698909,0.00692626642476276,0.0352270744448279,0.02,1469867.47550083,1194738.00437856,1744996.9466231,323621.133937743,1653369.6345963,1164707.94608696,1375902.63274142,1930836.63645119,365401.706972145,992830.317915449,1336585.57425846,171877.628171507,NA
"88","Spain","ES","2020/03/27",8578,655,56188,4089,1635600,1190833.49353292,1188182.51185416,1193490.38987865,NA,NA,NA,NA,0.0300343854671993,0.0244709905777371,0.0355977803566616,NA,0.0338189805111333,NA,1409652.70911161,1148536.8395576,1670768.57866562,NA,1587281.26962929,NA,1324278.64189629,1850283.8973623,NA,NA,NA,NA,NA
"89","Spain","ES","2020/03/28",7871,769,64059,4858,1943200,1345135.01400461,1342211.12682873,1348065.2706078,139,4.71223021582734,96.4964028776978,20850,0.0329342368282998,0.0275669275014976,0.038301546155102,0.00364729719833416,0.0360362507273431,0.035,1545756.15400015,1293843.48738576,1797668.82061454,170415.398823369,1691348.02240258,1467820.41223022,1436717.94204632,1945978.10275884,175333.216851983,1357191.34184382,1578449.48261661,110629.070386394,NA
"90","Spain","ES","2020/03/29",8189,832,72248,5690,2276000,1488775.47393186,1485598.84107632,1491958.89933194,114,4.60526315789474,86.7456140350877,17100,0.0325132231613827,0.027653115340612,0.0373733309821534,0.00441905981319905,0.036619114046199,0.04,1525996.03416048,1297888.68155272,1754103.38676824,206475.041527899,1718704.49544793,1434501.06578947,1488876.92663362,1948532.06426223,209839.765589138,1313692.41671755,1555309.7148614,120808.649071928,NA
"91","Spain","ES","2020/03/30",6549,838,78797,6528,2611200,1572741.67073473,1569431.33273637,1576058.99109506,86,4.32558139534884,85.6395348837209,12900,0.0309763358990908,0.0248892952965288,0.0370633765016528,0.00500140700808194,0.0379949534542054,0.04,1453862.80222687,1168169.81592473,1739555.78852902,233684.485692462,1783279.00625044,1347382.52930233,1498007.08845861,2068550.92404228,233076.235520874,1212450.96661322,1482314.09199144,134931.56268911,NA
"92","Spain","ES","2020/03/31",6398,812,85195,7340,2936000,1630725.10036764,1627326.97052444,1634130.32607212,97,4.52577319587629,81.5360824742268,14550,0.0315401233895086,0.0257488128324955,0.0373314339465217,0.00504612830336712,0.0419829321653686,0.05,1480323.95836069,1208510.9517348,1752136.96498657,235774.032268321,1970453.30353081,1409740.60556701,1705134.84640543,2235771.76065619,253518.389923583,1279872.51974923,1539608.69138479,129868.085817777,NA
"93","Spain","ES","2020/04/01",9222,849,94417,8189,3275600,1740827.3465285,1737231.14119109,1744430.9962943,136,5.33088235294118,89.8235294117647,20400,0.04133909241062,0.0343054336482623,0.0483727511729776,0.00418988854578741,0.0474432593351806,0.05,1940234.92415007,1610112.76665988,2270357.08164027,195767.300751346,2226731.72800423,1660525.39338235,1903629.98546856,2549833.47053989,201033.689187329,1541820.97186334,1779229.81490136,118704.421519011,NA
"94","Spain","ES","2020/04/02",7719,864,102136,9053,3621200,1817594.07124909,1813866.69318029,1821329.10883736,109,5.71559633027523,89.5412844036697,16350,0.0415218351072975,0.0340340460474349,0.0490096241671601,0.00484974830925291,0.0490530506122133,0.04,1948811.88463835,1597375.29057123,2300248.47870547,226598.422714707,2302286.6827494,1780360.58880734,1956410.7441331,2648162.6213657,223444.969879661,1643248.38715805,1917472.79045663,137112.20164929,NA
"95","Spain","ES","2020/04/03",8102,950,110238,10003,4001200,1909750.21661703,1905860.98320291,1913647.38667327,NA,NA,NA,NA,0.0402540013762487,0.0333826870283478,0.0471253157241496,NA,0.0487440385487746,NA,1889306.58010572,1566803.99731593,2211809.16289551,NA,2287783.3165044,NA,1970506.9685159,2605059.6644929,NA,NA,NA,NA,NA
"96","Spain","ES","2020/04/04",7472,932,117710,10935,4374000,1980439.91853934,1976429.39896567,1984458.57615592,86,5.86046511627907,97.6279069767442,12900,0.0392952512231345,0.0325813394974069,0.0460091629488622,0.00508098897630295,0.0427025321974348,0.0430555555555556,1844307.99832436,1529193.0490525,2159422.94759623,237402.853600546,2004227.46334463,1825486.00744186,1686922.78987564,2321532.13681361,233183.978376022,1669258.58776686,1981713.42711686,156227.419675004,NA
"97","Spain","ES","2020/04/05",7026,809,124736,11744,4697600,2018127.22565674,2014056.4872672,2022206.19167602,50,6.32,103.52,7500,0.0390671441957466,0.0325666262414482,0.0455676621500451,0.00652256424538868,0.0434570199949547,0.05,1833601.87984973,1528502.48785741,2138701.27184205,304758.654637915,2039639.06745176,1968627.2912,1735736.35197638,2343541.78292714,318769.813825965,1756194.97648753,2181059.60591247,212432.314712471,NA
"98","Spain","ES","2020/04/06",6023,674,130759,12418,4967200,2018230.43393519,2014170.39185562,2022298.66000047,44,5.72727272727273,94.1136363636364,6600,0.0382322490739042,0.0321943878956713,0.0442701102521371,0.00728130942667647,0.0425442054527716,0.05,1794416.38788704,1511031.61957103,2077801.15620304,340210.074043365,1996796.45648141,1783997.68909091,1715172.10472132,2278420.80824149,333989.213878978,1567980.35633921,2000015.02184261,216017.332751699,NA
"99","Spain","ES","2020/04/07",4273,637,135032,13055,5222000,1991698.14587657,1987700.70586271,1995703.62509201,62,5.29032258064516,84.6451612903226,9300,0.0335343427821171,0.0277257561481453,0.039342929416089,0.0065490276603134,0.0373368574364122,0.05,1573921.90370315,1301298.05083191,1846545.75657439,305995.12459454,1752391.51446704,1647891.36258065,1482909.40829028,2021873.6206438,302002.203246885,1472728.14880387,1823054.57635742,175163.213776779,NA
"100","Spain","ES","2020/04/08",5478,743,140510,13798,5519200,2006518.47834904,2002502.34313605,2010542.66815537,32,6.59375,86.09375,4800,0.0343401394815527,0.028671949574963,0.0400083293881424,0.0099303708462651,0.0384022404565795,0.0664285714285714,1611741.67203479,1345707.28733565,1877776.05673393,463984.154897808,1802394.87019611,2053898.133125,1541098.65520265,2063691.08518957,464351.79347863,1782926.28481197,2324869.98143803,270971.848313029,NA
"101","Spain","ES","2020/04/09",6180,757,146690,14555,5822000,2039490.58566384,2035419.10422379,2043570.21135344,408,4.78921568627451,78.1053921568627,61200,0.0485427850310932,0.0421396381855064,0.05494593187668,0.00263407772442383,0.0553578525168255,0.05,2278337.55751833,1977808.24229134,2578866.87274532,123073.98644247,2598200.21475607,1491800.74421569,2298067.46690515,2898332.96260699,130206.843523672,1426720.31075454,1556881.17767683,65080.4334611457,NA
"102","Spain","ES","2020/04/10",5756,683,152446,15238,6095200,2061361.14184545,2057254.64163991,2065475.83906442,71,4.15492957746479,85.5633802816901,10650,0.0479898629470998,0.0421032515660643,0.0538764743281352,0.00540509827687299,0.0543467263175335,0.04,2252386.36519311,1976100.44984365,2528672.28054258,252546.455208946,2550743.38273124,1294225.91126761,2274606.53721204,2826880.22825045,246081.358692568,1148597.06086448,1439854.76167073,145628.850403126,NA
"103","Spain","ES","2020/04/11",4576,605,157022,15843,6337200,2061771.4438347,2057670.9717236,2065880.08725782,59,5.32203389830508,90.2372881355932,8850,0.0481278650813032,0.0424524443622998,0.0538032858003065,0.00632812002480022,0.0538850670350452,0.04,2258863.44402515,1992489.68383524,2525237.20421507,295673.491680639,2529075.57604491,1657769.17355932,2263022.83105919,2795128.32103062,297267.626414735,1477690.24647781,1837848.10064084,180078.927081513,NA
"104","Spain","ES","2020/04/12",4830,510,161852,16353,6541200,2058634.19255751,2054545.05319431,2062731.47049169,204,4.16666666666667,77.9852941176471,30600,0.0421046324587636,0.0353474857975839,0.0488617791199433,0.00349455031404655,0.045245997186369,0.03,1976165.2615288,1659021.09664489,2293309.42641271,163278.491741382,2123604.04643128,1297881.91666667,1804743.48773073,2442464.60513183,166440.913497216,1211850.59766063,1383913.2356727,86031.3190060368,NA
"105","Spain","ES","2020/04/13",4167,619,166019,16972,6788800,2066041.77699314,2061944.45276654,2070147.24308108,50,5.68,95.12,7500,0.0394502935219656,0.0320255130666648,0.0468750739772664,0.00673434543520947,0.0442705018147692,0.0333333333333333,1851584.85094426,1503105.54229305,2200064.15959548,314653.865794023,2077819.53404952,1769272.6288,1726943.8379474,2428695.23015164,320653.600296785,1567435.38340049,1971109.87419951,201837.245399513,NA
"106","Spain","ES","2020/04/14",3477,517,169496,17489,6995600,2057670.02366208,2053594.14087145,2061753.99608453,84,4.73809523809524,75.3809523809524,12600,0.0363809958432518,0.0299846160542741,0.0427773756322294,0.00597794670353145,0.0413124843079839,0.045,1707528.50617257,1407316.80023018,2007740.21211495,279312.081311181,1938986.08275106,1475877.15095238,1636641.44237792,2241330.72312421,277809.165681447,1333189.29838151,1618565.00352325,142687.852570869,NA
"107","Spain","ES","2020/04/15",7968,787,177464,18276,7310400,2139845.31827921,2135614.98143922,2144084.03478966,NA,NA,NA,NA,0.0373702259560907,0.0311301925079385,0.0436102594042429,NA,0.0428371283809591,NA,1753957.65352506,1461084.00492848,2046831.30212164,NA,2010544.68514856,NA,1716870.67844483,2304218.69185229,NA,NA,NA,NA,NA
