"","date","p_cases","p_cases_recent","p_m_country","recent_p_m_country"
"51","2020/06/12",0.063297864315564,0.000951275048921268,0.0715062945806167,0.00129146859007378
"52","2020/06/13",0.0563945685377746,0.000934230415558036,0.069886156384832,0.00126768465139108
"53","2020/06/14",0.0563945685377746,0.000934230415558036,0.069886156384832,0.00126768465139108
"54","2020/06/15",0.0572788599111655,0.000921298022988264,0.0701809821389719,0.00125621003706601
"55","2020/06/16",0.0575520547960506,0.00090940375952367,0.070079021634329,0.00124524933357754
"56","2020/06/17",0.0564656056461695,0.000896371686411085,0.0680534607594253,0.00130351829521769
"57","2020/06/18",0.0564656056461695,0.000896371686411085,0.0680534607594253,0.00130351829521769
"58","2020/06/19",0.0557676305612756,0.000888930987849457,0.0664655519730647,0.00129231392742394
"59","2020/06/20",0.0560258529285445,0.000953115562963295,0.0660491140645287,0.00139465053155025
"60","2020/06/21",0.0543378610550057,0.000840407563496701,0.0636072149699639,0.00123054945462248
"61","2020/06/22",0.0557563839327113,0.000902798652654477,0.0633503938129258,0.00131089131564365
"62","2020/06/23",0.050426283472411,0.0010044721392752,0.0554429697643143,0.00149322713546463
"63","2020/06/24",0.0550516141386685,0.00168317301647834,0.059542846698699,0.00239230112646422
"64","2020/06/25",0.0573601179976536,0,0.0560564086156193,0
"65","2020/06/26",0.0463803958837664,0,0.0486756946753911,0
"66","2020/06/27",0.0405065680434463,0,0.0391308309586758,0
"67","2020/06/28",0.0413254422902925,0,0.0324889208138912,0
"68","2020/06/29",0.0413254422902925,0,0.0324889208138912,0
"69","2020/06/30",0.0415329944341409,0,0.0357678035911428,0
"70","2020/07/01",0.0474957148115987,0,0.0380336599434704,0
"71","2020/07/02",0.0470530967298315,0,0.0333330100909687,0
"72","2020/07/03",0.0417540280784584,0.00334843851538113,0.0301049293377793,0.00774326406681887
"73","2020/07/04",0.0507548445358457,0,0.0398261731838496,0
"74","2020/07/05",0.0549192442528749,0,0.0489027388728929,0
"75","2020/07/06",0.0569595082339366,0,0.052833074146351,0
"76","2020/07/07",0.0564254575116202,0,0.0510106814189341,0
"77","2020/07/08",0.0548337027888702,0,0.0506180416595913,0
"78","2020/07/09",0.0550772157980589,0,0.0506180416595913,0
"79","2020/07/10",0.0550772157980589,0,0.0506180416595913,0
"80","2020/07/11",0.0550772157980589,0,0.0506180416595913,0
"81","2020/07/12",0.0563298691738568,0,0.0521500887689694,0
"82","2020/07/13",0.0563298691738568,0,0.0521500887689694,0
"83","2020/07/14",0.0563298691738568,0,0.0521500887689694,0
"84","2020/07/15",0.0563298691738568,0,0.0521500887689694,0
"85","2020/07/16",0.0558233846055328,0,0.0530731846675658,0
"86","2020/07/17",0.0568965710725848,0,0.0548127994498274,0
"87","2020/07/18",0.0598463862284821,0,0.0589597173437886,0
"88","2020/07/19",0.0606137155772835,0,0.0615250851155095,0
"89","2020/07/20",0.059080381112943,0,0.0573156424563227,0
"90","2020/07/21",0.052887167100616,0,0.0423208444298837,0
"91","2020/07/22",0.0513110594717897,0,0.0423208444298837,0
"92","2020/07/23",0.0651089914305903,0,0.0537800269216676,0
"93","2020/07/24",0.0604051644615522,0,0.0511674889535391,0
"94","2020/07/25",0.0604051644615522,0,0.0511674889535391,0
"95","2020/07/26",0.0604051644615522,0,0.0511674889535391,0
"96","2020/07/27",0.0604051644615522,0,0.0511674889535391,0
"97","2020/07/28",0.0560905098571556,0,0.0494329978025716,0
"98","2020/07/29",0.0560905098571556,0,0.0494329978025716,0
"99","2020/07/30",0.0562103613739444,0,0.042508173283179,0
"100","2020/07/31",0.0479898737421817,0,0.028338782188786,0
"101","2020/08/01",0.0582734181155064,0,0.0427928751135145,0
"102","2020/08/02",0.0582734181155064,0,0.0427928751135145,0
"103","2020/08/03",0.0635344743944112,0,0.0515222712344188,0
"104","2020/08/04",0.0635344743944112,0,0.0515222712344188,0
"105","2020/08/05",0.0635344743944112,0,0.0515222712344188,0
"106","2020/08/06",0.067228339184784,0,0.0572469680382431,0
"107","2020/08/07",0.067228339184784,0,0.0572469680382431,0
"108","2020/08/08",0.06006178279256,0,0.0449778174135159,0
"109","2020/08/09",0.06006178279256,0,0.0449778174135159,0
"110","2020/08/10",0.06006178279256,0,0.0449778174135159,0
"111","2020/08/11",0.06006178279256,0,0.0449778174135159,0
"112","2020/08/12",0.0634606625336133,0,0.0437636004899934,0
"113","2020/08/13",0.0634606625336133,0,0.0437636004899934,0
"114","2020/08/14",0.0677485451372359,0,0.0500155434171353,0
"115","2020/08/15",0.093349035906509,0,0.0899095981664242,0
"116","2020/08/16",0.093349035906509,0,0.0899095981664242,0
"117","2020/08/17",0.093349035906509,0,0.0899095981664242,0
"118","2020/08/18",0.087406591235587,0,0.0782047772069704,0
"119","2020/08/19",0.087406591235587,0,0.0782047772069704,0
"120","2020/08/20",0.0878579161473026,0,0.0807943393661416,0
"121","2020/08/21",0.0878579161473026,0,0.0807943393661416,0
