"","date","p_cases","p_cases_recent"
"119","2020/08/08",0.0242222654173835,0.00540033343141723
"120","2020/08/10",0.0222843531319344,0.00519521002961373
"121","2020/08/11",0.0222843531319344,0.00519521002961373
"122","2020/08/12",0.029619502547317,0.0156963859367219
"123","2020/08/13",0.0293887085079373,0.0156963859367219
"124","2020/08/14",0.04121613334152,0.0174953496654778
"125","2020/08/15",0.03016564401705,0.0190350378908514
"126","2020/08/16",0.030661100807622,0.0157037770162742
"127","2020/08/17",0.0211887979323197,0.0165335275274964
"128","2020/08/18",0.0216726701503799,0.0161838835991622
"129","2020/08/20",0.0221871059231415,0.0158234179164878
"130","2020/08/22",0.0221871059231415,0.0158234179164878
