Timestamp,Region,Reach,Cases
"2020/03/28 11:51:32 AM GMT+1",Braga,100,
"2020/03/28 12:11:50 PM GMT+1",Lisboa,300,
"2020/03/28 12:12:21 PM GMT+1",Beja,1500,2
"2020/03/28 12:17:02 PM GMT+1",Porto,500,04
"2020/03/28 12:17:11 PM GMT+1",Lisboa,400,6
"2020/03/28 1:14:45 PM GMT+1",Porto,100,
"2020/03/28 1:19:19 PM GMT+1",Porto,50,
"2020/03/28 1:20:30 PM GMT+1","Todo o país",40,2
"2020/03/28 1:28:21 PM GMT+1",Braga,50,
"2020/03/28 1:52:28 PM GMT+1",Braga,20,
"2020/03/28 3:26:28 PM GMT+1",Porto,50,
"2020/03/28 3:33:16 PM GMT+1",Porto,70,
"2020/03/28 4:15:53 PM GMT+1",Porto,100,
"2020/03/28 4:17:04 PM GMT+1",Braga,30,
"2020/03/28 4:50:21 PM GMT+1",Porto,40,
"2020/03/28 4:55:36 PM GMT+1",Lisboa,40,4
"2020/03/28 5:16:55 PM GMT+1",Setúbal,100,2
"2020/03/28 5:28:11 PM GMT+1",Lisboa,30,1
"2020/03/28 5:31:57 PM GMT+1",Leiria,50,
"2020/03/28 7:00:01 PM GMT+1",Braga,50,1
"2020/03/28 10:40:47 PM GMT+1",Porto,100,
"2020/03/29 1:37:47 AM GMT+1",Porto,250,3
"2020/03/29 3:53:59 AM GMT+1",Lisboa,20,
"2020/03/29 10:39:03 AM GMT+1",Lisboa,20,
"2020/03/29 4:55:56 PM GMT+1",Setúbal,20,
"2020/03/29 4:56:36 PM GMT+1",Porto,300,
"2020/03/29 4:56:45 PM GMT+1",Porto,30,
"2020/03/29 5:21:36 PM GMT+1",Porto,100,
"2020/03/29 5:30:31 PM GMT+1",Leiria,50,
"2020/03/29 5:47:26 PM GMT+1",Porto,50,
"2020/03/29 6:04:00 PM GMT+1",Santarém,40,2
"2020/03/29 6:15:38 PM GMT+1",Leiria,200,
"2020/03/29 7:11:46 PM GMT+1",Porto,100,
"2020/03/29 7:39:33 PM GMT+1",Lisboa,100,
