"","countriesAndTerritories","geoId","date","cases","deaths","cum_cases","cum_deaths","cum_deaths_400","est_ccfr","sample_size","mean_cases","mean_reach","dunbar_reach","cases_p_reach","cases_p_reach_low","cases_p_reach_high","cases_p_reach_error","cases_p_reach_prop","cases_p_reach_prop_median","estimated_cases","estimate_cases_low","estimate_cases_high","estimate_cases_error","prop_cases","dunbar_cases","survey_twitter"
"25","Portugal","PT","2020/02/15",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Portugal","PT","2020/02/16",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Portugal","PT","2020/02/17",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Portugal","PT","2020/02/18",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Portugal","PT","2020/02/19",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Portugal","PT","2020/02/20",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Portugal","PT","2020/02/21",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Portugal","PT","2020/02/22",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Portugal","PT","2020/02/23",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Portugal","PT","2020/02/24",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Portugal","PT","2020/02/25",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Portugal","PT","2020/02/26",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Portugal","PT","2020/02/27",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Portugal","PT","2020/02/28",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Portugal","PT","2020/02/29",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Portugal","PT","2020/03/01",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Portugal","PT","2020/03/02",2,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Portugal","PT","2020/03/03",0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Portugal","PT","2020/03/04",3,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Portugal","PT","2020/03/05",3,0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Portugal","PT","2020/03/06",5,0,13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Portugal","PT","2020/03/07",7,0,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Portugal","PT","2020/03/08",10,0,30,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Portugal","PT","2020/03/09",0,0,30,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Portugal","PT","2020/03/10",11,0,41,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Portugal","PT","2020/03/11",18,0,59,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Portugal","PT","2020/03/12",0,0,59,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Portugal","PT","2020/03/13",53,0,112,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Portugal","PT","2020/03/14",57,0,169,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Portugal","PT","2020/03/15",76,0,245,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Portugal","PT","2020/03/16",86,0,331,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Portugal","PT","2020/03/17",117,1,448,1,400,616.799093030459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Portugal","PT","2020/03/18",0,1,448,2,800,870.039258444478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11944.1084656085
"58","Portugal","PT","2020/03/19",337,1,785,3,1200,1672.68676478367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Portugal","PT","2020/03/20",235,3,1020,6,2400,3244.07091240227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22802.3888888889
"60","Portugal","PT","2020/03/21",260,6,1280,12,4800,6003.73897205071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Portugal","PT","2020/03/22",320,2,1600,14,5600,6482.22716457268,77,0.38961038961039,114.311688311688,11550,0.00340831629175187,0.00219076859478044,0.00462586398872331,0.00121754769697144,0.00378138528138528,0,34753.6025903204,22338.6254657778,47168.5797148629,12414.9771245426,38557.6777683983,26484.9532467532,NA
"62","Portugal","PT","2020/03/23",460,9,2060,23,9200,10299.5910453485,37,0.216216216216216,95,5550,0.00227596017069701,0.000700624984349468,0.00385129535704456,0.00157533518634755,0.00418918918918919,0,23207.2990042674,7144.06768229111,39270.5303262437,16063.2313219763,42715.9347297297,14697.956036036,NA
"63","Portugal","PT","2020/03/24",302,10,2362,33,13200,12899.9512943502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Portugal","PT","2020/03/25",633,10,2995,43,17200,16487.1110475862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Portugal","PT","2020/03/26",549,17,3544,60,24000,21406.5908358448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Portugal","PT","2020/03/27",724,16,4268,76,30400,25972.0216463754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Portugal","PT","2020/03/28",902,24,5170,100,40000,33291.0250247691,44,0.727272727272727,88.75,6600,0.00819462227912932,0.00536703986885892,0.0110222046893997,0.0028275824102704,0.0109848484848485,0,83558.1623559539,54726.1330000728,112390.191711835,28832.0293558811,112009.281439394,49438.5793939394,NA
"68","Portugal","PT","2020/03/29",792,19,5962,119,47600,37045.1207176432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Portugal","PT","2020/03/30",446,21,6408,140,56000,38297.6328337855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Portugal","PT","2020/03/31",1035,20,7443,160,64000,42145.9707587794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Portugal","PT","2020/04/01",808,27,8251,187,74800,45959.1854626021,32,0.65625,95.78125,4800,0.00685154975530179,0.00393120352106964,0.00977189598953395,0.00292034623423216,0.00975,0,69863.2453507341,40085.3304617154,99641.1602397528,29777.9148890187,99417.89325,44610.593125,NA
"72","Portugal","PT","2020/04/02",783,22,9034,209,83600,47876.799823409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Portugal","PT","2020/04/03",852,37,9886,246,98400,53082.8640228836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Portugal","PT","2020/04/04",638,20,10524,266,106400,53163.1097116544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Portugal","PT","2020/04/05",754,29,11278,295,118000,55551.4280619477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Portugal","PT","2020/04/06",452,16,11730,311,124400,54110.8151036509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Portugal","PT","2020/04/07",712,34,12442,345,138000,57131.2000629123,45,0.733333333333333,93.3777777777778,6750,0.00785340314136126,0.00518447465902073,0.0105223316237018,0.00266892848234052,0.00731746031746032,0,80078.8507853403,52864.5690469593,107293.132523721,27214.281738381,74613.9988412698,49850.5675555556,NA
