"","date","estimated_cases_region_based","prop_cases_region_based","estimate_cases_world","estimate_cases_reg","I_r_est","I_c_est","r_r","r_c","I_r_prop","I_c_prop"
"23","2020/04/09",2263363.47829717,2577341.89449368,68788.330981717,2194575.14731545,2278337.55751833,1871042.6027027,30337,1480,2598200.21475607,2030853.90361905
"24","2020/04/10",2240587.1544708,2531680.12673889,82246.1489934773,2158341.00547732,2252386.36519311,1969795.26839378,35962,1930,2550743.38273124,2094178.40171429
"25","2020/04/11",2273215.04143896,2530132.02775599,148707.787392999,2124507.25404596,2258863.44402515,2500149.67554479,39912,3304,2529075.57604491,2546837.17043746
"26","2020/04/12",2119814.39677949,2211091.53193443,344815.658879377,1774998.73790012,1976165.2615288,3387306.76663858,23647,3561,2123604.04643128,2983039.93343289
"27","2020/04/13",2044434.89193852,2199392.5721295,393980.663780534,1650454.22815799,1851584.85094426,3626939.64009727,22188,3701,2077819.53404952,3197006.61990348
"28","2020/04/14",1864025.44121957,2025611.90244699,303000.860132813,1561024.58108676,1707528.50617257,3531527.26637555,23920,2977,1938986.08275106,2948624.94679329
"29","2020/04/15",1902524.60305838,2087056.20603985,306279.763065548,1596244.83999283,1753957.65352506,3406202.21348654,25672,3307,2010544.68514856,2861445.53869713
"30","2020/04/16",1922785.23866567,2172807.47934548,310566.203035877,1612219.03562979,1767240.09674804,3540454.714609,30911,3977,2087987.62717435,3054933.94192513
"31","2020/04/17",2000769.65219413,2208864.12425768,355651.125902425,1645118.5262917,1820847.09614559,3685151.02796768,33165,4827,2099176.72199201,3235724.91142565
"32","2020/04/18",2044773.023982,2305975.3677887,412050.21601804,1632722.80796396,1830276.45732614,3817524.06016713,21137,3590,2145708.78723645,3630531.51882353
"33","2020/04/19",2124011.13247535,2385790.92583617,468214.041209025,1655797.09126633,1869262.22149927,4100036.46896552,21637,3915,2186952.48059554,3928132.37945946
"34","2020/04/20",2118812.33478159,2377729.5742991,478070.745443065,1640741.58933852,1863971.73754784,3991890.72444959,22037,4315,2175743.29019014,3862328.7625
"35","2020/04/21",2267353.38532487,2533397.29056021,489975.349437038,1777378.03588784,2039945.2457349,3806731.56101083,19236,4155,2365708.28795357,3668522.84666667
"36","2020/04/22",2272624.40714082,2526794.29804492,491477.100448934,1781147.30669188,2050619.777446,3740020.86195286,19756,4455,2360351.56682662,3626940.15560976
"37","2020/04/23",2292780.13431138,2552668.79356056,509567.093498452,1783213.04081293,2057063.61493777,3827678.4,20506,4635,2367437.14092878,3758828.39209302
"38","2020/04/24",2267253.18740257,2510315.11911341,531017.075849021,1736236.11155354,2006971.23403308,3936452.67096774,21988,5115,2300232.06175482,3857586.9
"39","2020/04/25",2263572.79982496,2522327.89687941,518797.62841016,1744775.1714148,2013642.16504265,3885463.08936971,22826,5315,2320750.87790673,3830434.08382979
"40","2020/04/26",2334381.78567721,2567453.93434946,535941.671717183,1798440.11396002,2078570.9728323,3976687.2041415,24141,5795,2357244.9568961,3916995.5696
"41","2020/04/27",2500928.90048931,2758258.065297,604018.075090739,1896910.82539857,2222942.37351395,4118305.05743686,19229,5345,2521380.2983168,4136455.98227273
"42","2020/04/28",2650498.14607296,2845788.50275398,601431.507916288,2049066.63815667,2407458.52163654,4040050.78143767,19789,5495,2637223.6269619,4038235.51
"43","2020/04/29",2774614.26351569,3000832.55977896,595158.057189682,2179456.20632601,2561674.2723608,3988825.27690957,20057,5695,2824335.88929243,4007239.10638298
"44","2020/04/30",2800998.62019145,3016440.46937614,585670.682390755,2215327.9378007,2602003.35967136,3941075.63358779,20597,5895,2848685.92388543,3977534.21958333
"45","2020/05/01",2870903.34239175,3136741.3878794,617543.840355214,2253359.50203653,2663855.22527575,4007465.34698596,19455,6055,2958497.96711103,4115183.99550152
"46","2020/05/02",2881365.51023981,3149167.28269551,626959.355605985,2254406.15463382,2667427.12952857,4049112.50495532,19715,6155,2962814.35850014,4166343.66059524
"47","2020/05/03",2812640.10569156,3136262.62169457,631169.578810624,2181470.52688094,2585446.55037741,4039485.30438799,20305,6495,2945699.755056,4165302.10154286
"48","2020/05/04",2810259.01651646,3120991.22526178,617552.509090909,2192706.50742555,2593523.82598721,3995928,21245,6695,2935772.74092919,4134245.28661064
"49","2020/05/05",2759913.85439965,3121524.68453082,604725.008902077,2155188.84549757,2539505.73752686,3995928,21885,6695,2940934.64709701,4134245.28661064
"50","2020/05/06",2773145.37461465,3129097.84589417,595884,2177261.37461465,2558843.26501104,3995928,22445,6695,2952937.98515005,4134245.28661064
"51","2020/05/07",2755413.91521987,3205611.89162737,584187.544389829,2171226.37083004,2536417.35063326,4057448.03558026,26109,7195,3032531.98111471,4234650.63231169
"52","2020/05/08",2842332.31320843,3335191.5091706,629998.76843708,2212333.54477135,2620764.35303683,4042492.09747126,22209,6525,3161934.05749,4273669.37244048
"53","2020/05/09",2827875.34536851,3315132.62316996,608274.672973733,2219600.67239477,2612740.27488536,4042492.09747126,23119,6525,3145354.8963619,4273669.37244048
"54","2020/05/10",2795345.47723697,3271887.6842852,591584.209386039,2203761.26785093,2581548.91376823,4042492.09747126,24279,6525,3100153.68060143,4273669.37244048
"55","2020/05/11",2794802.75743635,3293399.67010238,550187.294680525,2244615.46275582,2594320.0457214,4081622.02332762,23639,5830,3134563.83657072,4312904.08998007
"56","2020/05/12",2830462.06349102,3329594.44641322,540029.990778731,2290432.07271229,2639682.35330317,4081622.02332762,24227,5830,3179657.16033742,4312904.08998007
