"","date","cases_p_reach","cases_p_reach_prop","variance_p_reach","variance_p_reach_prop","cases_p_reach_low","cases_p_reach_high","cases_p_reach_prop_low","cases_p_reach_prop_high","estimate_cases_reach","estimate_cases_reach_low","estimate_cases_reach_high","estimate_cases_reach_prop","estimate_cases_reach_prop_low","estimate_cases_reach_prop_high"
"23","2020/04/09",0.0485427850310932,0.0553578525168255,1.06727117675314e-05,1.0644563719437e-05,0.0421396381855064,0.05494593187668,0.0489631550271401,0.0617525500065109,2278337.55751833,1977808.24229134,1977808.24229134,2598200.21475607,2298067.46690515,2898332.96260699
"24","2020/04/10",0.0479898629470998,0.0543467263175335,9.02025029970223e-06,9.01051918888718e-06,0.0421032515660643,0.0538764743281352,0.0484632910526539,0.0602301615824131,2252386.36519311,1976100.44984365,1976100.44984365,2550743.38273124,2274606.53721204,2826880.22825045
"25","2020/04/11",0.0481278650813032,0.0538850670350452,8.38463149148595e-06,8.36443451467399e-06,0.0424524443622998,0.0538032858003065,0.0482164859399587,0.0595536481301316,2258863.44402515,1992489.68383524,1992489.68383524,2529075.57604491,2263022.83105919,2795128.32103062
"26","2020/04/12",0.0421046324587636,0.045245997186369,1.1885420397931e-05,1.20144170324003e-05,0.0353474857975839,0.0488617791199433,0.0384522806429983,0.0520397137297397,1976165.2615288,1659021.09664489,1659021.09664489,2123604.04643128,1804743.48773073,2442464.60513183
"27","2020/04/13",0.0394502935219656,0.0442705018147692,1.43501053752126e-05,1.45481466991661e-05,0.0320255130666648,0.0468750739772664,0.0367946633762048,0.0517463402533336,1851584.85094426,1503105.54229305,1503105.54229305,2077819.53404952,1726943.8379474,2428695.23015164
"28","2020/04/14",0.0363809958432518,0.0413124843079839,1.06501651407855e-05,1.08020366354111e-05,0.0299846160542741,0.0427773756322294,0.0348706597265012,0.0477543088894667,1707528.50617257,1407316.80023018,1407316.80023018,1938986.08275106,1636641.44237792,2241330.72312421
"29","2020/04/15",0.0373702259560907,0.0428371283809591,1.01358854211937e-05,1.01913593275062e-05,0.0311301925079385,0.0436102594042429,0.0365800423185377,0.0490942144433805,1753957.65352506,1461084.00492848,1461084.00492848,2010544.68514856,1716870.67844483,2304218.69185229
"30","2020/04/16",0.0376532247522669,0.0444871455500692,8.26660639396538e-06,8.29245098580673e-06,0.0320178902348618,0.043288559269672,0.0388430087952523,0.0501312823048861,1767240.09674804,1502747.76751807,1502747.76751807,2087987.62717435,1823082.1682059,2352893.08614281
"31","2020/04/17",0.0387953878348751,0.0447255429827208,7.4121760676351e-06,7.45488837067038e-06,0.0334592267071142,0.0441315489626361,0.0393740292562349,0.0500770567092068,1820847.09614559,1570396.35866607,1570396.35866607,2099176.72199201,1848005.4160025,2350348.02798152
"32","2020/04/18",0.0389962919771335,0.0457169658878823,9.6300328787945e-06,9.76840146277326e-06,0.03291396229952,0.0450786216547469,0.0395910952510349,0.0518428365247298,1830276.45732614,1544804.576534,1544804.576534,2145708.78723645,1858193.32771989,2433224.24675301
"33","2020/04/19",0.0398269316526653,0.0465957135229779,1.01363901135747e-05,1.02823156885783e-05,0.0335867428526121,0.0460671204527184,0.0403107677038604,0.0528806593420953,1869262.22149927,1576381.28151901,1576381.28151901,2186952.48059554,1891970.8865751,2481934.07461597
"34","2020/04/20",0.0397142113824327,0.046356887929103,9.9333332474489e-06,1.00776577518156e-05,0.0335368419582037,0.0458915808066617,0.0401348038715404,0.0525789719866656,1863971.73754784,1574039.20160308,1574039.20160308,2175743.29019014,1883712.08956371,2467774.49081657
"35","2020/04/21",0.0434635435000124,0.0504043259478603,1.19562779308412e-05,1.17836904276129e-05,0.036686284666301,0.0502408023337239,0.0436761593962121,0.0571324924995085,2039945.2457349,1721857.12351494,1721857.12351494,2365708.28795357,2049924.29372992,2681492.28217722
"36","2020/04/22",0.0436909775325375,0.050290194413102,1.16682157678833e-05,1.15294659203851e-05,0.0369958585870742,0.0503860964780007,0.0436350012318524,0.0569453875943516,2050619.777446,1736386.86032493,1736386.86032493,2360351.56682662,2047992.55059653,2672710.58305671
