"","date","r_c","r_r","r_r_recent","I_c_p_w_country","I_c_p_m_country","I_c_recent_p_w_country","I_c_recent_p_m_country","I_r_p_w_country","I_r_p_m_country","I_r_recent_p_w_country","I_r_recent_p_m_country","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"22","2020/04/10",4713,5509,0,0.0621684701888394,0.0578441573333214,NA,NA,0.0471146944132282,0.0480124515893977,0,0,0.0540554540718523,0.0525455008137288,NA,NA
"23","2020/04/11",4788,5592,0,0.0637009189640769,0.059340493241422,NA,NA,0.0399156560150918,0.0397896305311722,0,0,0.0508871241268202,0.0488078897466516,NA,NA
"24","2020/04/12",4866,5489,0,0.0558980682285245,0.0526049842021432,NA,NA,0.0349964110507959,0.0397519701561353,0,0,0.0448184741919671,0.0457918317059059,NA,NA
"25","2020/04/13",4721,5716,0,0.0633340393984325,0.0584666076957099,NA,NA,0.0386924506383162,0.0406104876867386,0,0,0.0498386555378572,0.0486874008382528,NA,NA
"26","2020/04/14",4761,5424,0,0.0667926906112161,0.0627523219814242,NA,NA,0.0375916128383732,0.0411168425931884,0,0,0.0512417190019967,0.0512303936356421,NA,NA
"27","2020/04/15",4741,5367,0,0.0634887154608732,0.0577189886480908,NA,NA,0.0393556378818997,0.0436101839054374,0,0,0.0506748821242734,0.0502276990701505,NA,NA
"28","2020/04/16",4721,5359,0,0.0722304596483796,0.0656189886480908,NA,NA,0.046412826517595,0.0544401520809887,0,0,0.058504596955138,0.059675795675561,NA,NA
"29","2020/04/17",4726,5291,0,0.0744815911976301,0.0673189886480908,NA,NA,0.0416133948285929,0.0456680075190143,0,0,0.0571205422819292,0.0558828958903845,NA,NA
"30","2020/04/18",4726,5392,0,0.079136690647482,0.0714856553147575,NA,NA,0.0423129368308763,0.0456757025896527,0,0,0.0595128835137463,0.0577312310121517,NA,NA
"31","2020/04/19",4752,5302,0,0.0854377104377104,0.0773516679399032,NA,NA,0.0433841088621461,0.0462412787599215,0,0,0.0632606470247761,0.0609455327268276,NA,NA
"32","2020/04/20",4750,5302,0,0.0863157894736842,0.0797964943553179,NA,NA,0.0462245921135337,0.0499096218060471,0,0,0.0651693978696733,0.0640324475729627,NA,NA
"33","2020/04/21",4780,5412,0,0.0870292887029289,0.0793924842664338,NA,NA,0.0498835891599973,0.0553519806878592,0,0,0.067304747305132,0.0666268636456287,NA,NA
"34","2020/04/22",4780,5302,0,0.0870292887029289,0.0793924842664338,NA,NA,0.0562621995647565,0.0610338345978181,0,0,0.0708492543237789,0.0697378958372531,NA,NA
"35","2020/04/23",4775,5292,0,0.0904712041884817,0.0833319061890491,NA,NA,0.0462190492277483,0.0513246766866901,0,0,0.0672088217456287,0.0665064111531413,NA,NA
"36","2020/04/24",4755,5414,0,0.0944269190325973,0.0861523892773893,NA,NA,0.0426634069590734,0.0462025945633799,0,0,0.06686790100073,0.0648830227141434,NA,NA
"37","2020/04/25",4755,5452,0,0.0944269190325973,0.0861523892773893,NA,NA,0.0413263610682034,0.049587821851584,0,0,0.0660636152193441,0.0666216729449223,NA,NA
"38","2020/04/26",4775,5329,0,0.0936125654450262,0.0853365384615385,NA,NA,0.0473708341453537,0.0537912170235826,0,0,0.0692239880404384,0.0686990663769317,NA,NA
"39","2020/04/27",4775,5394,0,0.0936125654450262,0.0853365384615385,NA,NA,0.0438264116083814,0.0499957474467621,0,0,0.0672042151849355,0.0665905234419983,NA,NA
"40","2020/04/28",4735,5374,0,0.0952481520591341,0.0870032051282051,NA,NA,0.0487367671532964,0.0548672928388017,0,0,0.0705224440282733,0.0699195774060512,NA,NA
"41","2020/04/29",4735,5362,0,0.0952481520591341,0.0870032051282051,NA,NA,0.0511845709457742,0.0597378464100489,0,0,0.0718482390226049,0.0725239683799875,NA,NA
"42","2020/04/30",4735,5332,0,0.0952481520591341,0.0870032051282051,NA,NA,0.0567664168389655,0.0648159423303705,0,0,0.0748662495863082,0.0752516917440734,NA,NA
"43","2020/05/01",4715,5364,0,0.0920466595970307,0.0851258670407607,NA,NA,0.0623657119252196,0.0690876545204026,0,0,0.0762505882296734,0.0765904000341925,NA,NA
"44","2020/05/02",4735,5324,0,0.0946145723336853,0.088104590445016,NA,NA,0.0573446789818165,0.0631973303382278,0,0,0.0748884651455603,0.0749217439584328,NA,NA
"45","2020/05/03",4775,5419,0,0.0969633507853403,0.0902626451562622,NA,NA,0.0559504847467004,0.0636712263970165,0,0,0.0751614358291514,0.0761269870969771,NA,NA
