Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Recovered,Fatalities,RecentCases,RecentCasesNursing,StillSick,Tested,Positive,Hospital,Severe,ICU,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,40,1,10,0,0,0,0,2,0,0,0,2,,N,N,limesurvey-5648,r3iguyn6jnkd8tj50y,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,31,2,2,0,0,0,0,2,0,0,0,0,,N,Y,limesurvey-5819,juzs1q15hnkd8z0thm,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,en,3,3,3,0,0,0,0,1,1,,,,,N,Y,limesurvey-5618,s34gortbm0kd8r2stj,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,30,9,9,0,0,0,0,4,4,2,2,0,,Y,Y,limesurvey-5419,uq69vekj2lkd8kvr52,
2020/07/30,Spain,ES,"Arganda del Rey",ESMAR,en,10,2,2,0,,0,0,4,2,0,0,0,,N,N,limesurvey-5232,yg8914b0tikd8i8pq6,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,en,50,3,2,1,0,0,0,7,3,3,3,3,,N,Y,limesurvey-5452,pwf3p0wqobkd8lc7h3,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,120,1,0,0,1,0,1,5,1,,,,,Y,N,limesurvey-5712,g06rj7ss11kd8vpl0q,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,en,9,0,0,0,0,0,0,2,0,0,0,0,,Y,Y,limesurvey-5874,z8mknksp34kd94gyo1,
2020/07/30,Spain,ES,"Arganda del Rey",ESMAR,en,50,4,4,0,0,0,0,1,1,1,1,0,,Y,N,limesurvey-5802,psdwq2hxq4kd8yh21a,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,10,3,3,0,0,0,0,2,0,0,0,0,,Y,Y,limesurvey-5584,x5trs2j6thkd8p7bpf,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,en,8,0,0,0,0,0,0,1,1,0,0,0,,N,N,limesurvey-5634,4n9lqzsr59kd8sft8i,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,30,0,0,0,0,0,0,2,0,0,0,0,,Y,Y,limesurvey-5501,idrumo5ujkkd8mojks,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,30,4,4,0,0,0,0,2,0,0,0,0,,Y,Y,limesurvey-5486,d9lgsuy69rkd8me19v,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,en,20,1,1,0,0,0,0,15,0,0,0,0,,N,Y,limesurvey-5569,g9jrfmpe66kd8ojbrq,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,40,0,0,0,0,0,0,3,0,0,0,0,,Y,Y,limesurvey-5680,d4kpp2uytrkd8u4k9b,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,20,2,2,0,0,,0,1,0,0,0,0,,Y,N,limesurvey-5592,p7o25lq380kd8phq4u,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,15,0,0,0,0,0,0,2,0,0,0,0,,Y,N,limesurvey-5392,soyjel3dvdkd8k2zeh,
2020/07/30,Spain,ES,"Arganda del Rey",ESMAR,en,4,1,1,0,0,0,0,0,0,0,0,0,,Y,Y,limesurvey-5562,lpheoi2d2ikd8obdwk,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,en,2,0,0,0,0,0,0,0,0,0,0,0,,N,N,limesurvey-5617,fsbqt7nldpkd8qx8t4,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,14,0,,,,,,2,0,,,,,N,N,limesurvey-5937,18s70aror8kd9aiah6,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,20,1,1,0,0,0,0,4,0,0,0,0,,N,Y,limesurvey-5943,bcgf2hd7mokd9b53fm,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,20,0,20,0,0,0,0,1,0,0,0,0,,N,N,limesurvey-5361,rkuv15onpmkd8jjbyc,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,20,0,,,,,,,,,,,,N,N,limesurvey-5701,g447pqnx3wkd8ux55j,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,20,5,5,0,0,0,0,6,5,1,1,1,,Y,N,limesurvey-5898,ovjr1f2bqykd96tnhj,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,10,0,0,0,0,0,0,1,0,0,0,0,,N,N,limesurvey-5211,6hhtep6paukd8iiu0m,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,20,2,2,0,0,0,0,2,0,0,0,0,,N,Y,limesurvey-5852,hlpgw68sddkd9267wh,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,8,3,3,0,0,0,0,0,0,0,0,0,,Y,,limesurvey-5462,ihsagck21mkd8ljs6r,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,200,0,0,0,0,0,0,10,0,0,0,10,,Y,,limesurvey-5791,rh725f8t8bkd8y6g1b,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,en,25,5,5,0,0,0,0,8,5,0,0,0,,N,N,limesurvey-5785,9vuusk6vltkd8xz76f,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,20,2,2,0,0,0,0,2,2,0,,,,N,Y,limesurvey-5975,g45yhgamrzkd9eyzkd,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,50,20,20,0,0,0,0,10,8,1,1,1,,N,Y,limesurvey-5549,qoskbcta5xkd8ny9ot,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,en,2,0,0,0,0,0,0,1,0,0,0,0,,Y,N,limesurvey-5643,,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,120,1,0,0,1,0,1,5,1,,,,,Y,N,limesurvey-5723,g06rj7ss11kd8vpl0q,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,50,4,4,0,0,0,0,3,0,0,0,0,,Y,N,limesurvey-5960,qcwcw1nijgkd9cr6dy,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,en,100,2,2,0,0,0,0,0,0,0,0,0,,N,Y,limesurvey-5757,zj4ro69mu1kd8wo6sh,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,40,0,0,0,0,0,0,3,0,0,0,0,,Y,Y,limesurvey-5681,d4kpp2uytrkd8u4k9b,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,en,20,2,2,0,0,0,0,0,0,2,1,1,,Y,Y,limesurvey-5741,tw4w9uluwmkd8w7ahr,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,2,1,2,0,0,0,0,1,1,0,,,,Y,Y,limesurvey-5611,ui5mdd9ayvkd8qknww,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,30,4,4,0,0,0,0,0,0,0,0,0,,Y,Y,limesurvey-5202,dnp7z36439kd8hz06g,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,en,11,2,2,0,0,0,0,0,0,1,1,0,,N,N,limesurvey-5847,ywd8jaspbhkd91fr3x,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,34,0,0,0,0,0,0,0,0,0,0,,,Y,Y,limesurvey-5626,lurf3nym91kd8rln37,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,en,10,3,2,0,0,0,1,1,1,1,1,1,,N,N,limesurvey-5860,yotuxo07shkd92hmvp,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,en,10,0,0,0,0,0,0,0,0,0,0,0,,N,Y,limesurvey-5863,bzqvr9fe6ckd92zikw,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,15,4,4,0,0,0,0,0,0,0,0,0,,Y,Y,limesurvey-5272,cqob65gc08kd8j93no,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,10,0,0,0,0,0,0,0,0,0,0,0,,Y,Y,limesurvey-5229,26vvrh72bgkd8i9qmv,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,50,6,6,0,1,0,0,,,,,,,N,N,limesurvey-5676,wwia2pf550kd8u59ee,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,en,40,0,0,0,0,0,0,0,0,0,0,0,,,N,limesurvey-5391,l8n5zzjqpmkd8jxva7,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,50,0,0,0,0,0,0,0,0,0,0,0,,Y,N,limesurvey-5236,pcirx87jlwkd8ic7lq,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,19,0,,,,,,,,,,,,N,Y,limesurvey-5321,dsfj2oew0mkd8j2r43,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,en,8,0,0,0,0,0,0,1,0,0,0,0,,N,N,limesurvey-5550,2etejs580ukd8nwduq,
2020/07/30,Spain,ES,"Arganda del Rey",ESMAR,en,10,2,2,0,0,0,0,1,0,2,2,1,,N,N,limesurvey-5475,kk8zhykcjbkd8lqor2,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,20,0,0,0,0,0,0,1,0,0,0,1,,N,N,limesurvey-5721,d6jx0etgpykd8vlxmm,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,100,4,4,1,0,0,0,4,2,0,1,0,,N,Y,limesurvey-5305,bh0pvlbgslkd8j1bso,
2020/07/30,Spain,ES,"Arganda del Rey",ESMAR,en,3,0,,,,,,1,0,,,,,N,Y,limesurvey-5694,69sf2ih8d8kd8ufw40,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,50,5,5,0,0,0,0,3,0,0,0,0,,Y,Y,limesurvey-5636,20gsy9zg69kd8srxya,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,30,1,1,0,0,0,0,0,0,0,0,0,,N,N,limesurvey-5968,x74vz0xpr1kd9dpokt,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,10,0,0,0,0,0,0,3,0,0,0,0,,N,N,limesurvey-5605,via5iffifqkd8q4kon,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,30,1,1,0,0,0,0,0,0,1,1,1,,N,Y,limesurvey-5228,sir62wlud2kd8i7j41,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,15,0,,,,,,0,,,,,,N,N,limesurvey-5793,7z89uj3q61kd8yita1,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,30,1,1,0,0,0,0,2,0,0,0,0,,N,N,limesurvey-5836,698jw9g4xhkd9046fr,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,50,1,1,0,0,0,0,3,1,1,0,0,,N,N,limesurvey-5282,2s95ff28iqkd8iqdhm,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,100,3,2,0,0,0,1,10,1,0,0,0,,Y,Y,limesurvey-5882,bi7uwre9y1kd95exty,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,200,2,2,0,0,0,0,10,2,0,,,,Y,N,limesurvey-5487,c9z40xamqykd8m5h1a,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,60,5,5,0,0,0,0,10,0,0,0,0,,Y,N,limesurvey-5374,irxxuby5btkd8jo6f5,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,4,0,0,0,0,0,0,1,0,0,0,0,,Y,N,limesurvey-5576,mb3jaj6pr4kd8oocyn,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,8000,2,2,0,0,0,0,0,1,1,1,1,,Y,N,limesurvey-5218,g5yf3ja5rlkd8i4jij,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,en,30,10,9,1,0,3,0,10,4,5,2,2,,Y,Y,limesurvey-5310,64okjiqy8lkd8ivmy0,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,20,5,4,1,0,0,0,2,2,2,2,1,,N,Y,limesurvey-5251,o0trp1botqkd8ihufx,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,40,5,5,0,0,0,0,,,0,0,0,,N,N,limesurvey-5652,vux776f6u2kd8tn5lw,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,21,2,2,0,0,0,0,0,0,2,1,1,,N,N,limesurvey-5358,v5tll820ufkd8jfvfu,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,30,2,2,0,0,0,0,0,,0,0,0,,N,N,limesurvey-5659,y0azbhxug2kd8tr2u1,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,50,2,1,1,0,1,0,0,,0,,,,Y,Y,limesurvey-5895,lf1iudb0hckd96sqdn,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,40,3,2,1,0,0,0,3,1,1,1,0,,Y,Y,limesurvey-5698,0sjc43iwm5kd8uv5r6,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,50,4,4,0,0,0,0,4,4,2,0,0,,N,Y,limesurvey-5734,00sm2q8cnvkd8vy4c7,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,20,0,,,,,,,,,,,,Y,N,limesurvey-5400,tq4lf9nxlbkd8k3bbf,
2020/07/30,Spain,ES,"Arganda del Rey",ESMAR,es,10,0,0,0,0,0,0,0,0,0,0,0,,N,N,limesurvey-5302,jqxaqcx43qkd8iy3vt,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,en,300,6,5,1,0,0,0,30,1,1,1,1,,Y,Y,limesurvey-5325,pmxenzqps0kd8j1wb2,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,3,1,1,0,0,0,0,1,0,0,,,,N,N,limesurvey-5622,e0dhf225cekd8reicg,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,10,2,2,0,0,0,0,0,0,0,0,0,,N,N,limesurvey-5235,6565cc0wqikd8icsyt,
