"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"13","ES","ESCB","ESS",581078,NA,NA,NA,NA,0,581078,0.01,0.01,0,0,100,0,0,0,0,0,0,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"14","ES","ESCE","",84777,NA,NA,NA,NA,0,84777,NA,NA,NA,NA,0,0,0,0,0,0,0,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"15","ES","ESCL","ESAV",157640,NA,NA,NA,NA,0,2399548,0,0,NA,NA,10,0,0,0,0,0,0,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"16","ES","ESCL","ESSG",153129,NA,NA,NA,NA,0,2399548,0,0,NA,NA,10,0,0,0,0,0,0,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"17","ES","ESCL","ESLE",460001,NA,NA,NA,NA,0,2399548,0,0,NA,NA,10,0,0,0,0,0,0,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"18","ES","ESCL","ESBU",356958,NA,NA,NA,NA,0,2399548,0,0,NA,NA,10,0,0,0,0,0,0,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"19","ES","ESCL","ESVA",519546,0.1,0.1,0,0,20,2399548,0,0,NA,NA,10,0,0,0,0,0,0,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"20","ES","ESCL","ESSO",88636,0.05,0.05,0,0,40,2399548,0,0,NA,NA,10,0,0,0,0,0,0,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"21","ES","ESCL","ESSA",330119,NA,NA,NA,NA,0,2399548,0,0,NA,NA,10,0,0,0,0,0,0,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
"22","ES","ESCL","ESP",160980,NA,NA,NA,NA,0,2399548,0,0,NA,NA,10,0,0,0,0,0,0,2.1904285479071,2.1904285479071,0.100973875039114,0.100973875039114,47026208,0.02,0.02,0,0,100,2.1904285479071,2.1904285479071,980,0.100973875039114,0.100973875039114,980,1.98946294161941,1.98946294161941,0.0916244421651216,0.0916244421651216
