"Timestamp","Por favor, elige una comunidad autónoma.","¿Cuánta gente conoce en ese área geográfica cuyo estado de salud actual posiblemente conozca?","Por lo que sabe, ¿cuánta de esta gente ha sido diagnosticada con COVID-19 o ha tenido síntomas compatibles con la enfermedad (https://www.who.int/es/emergencies/diseases/novel-coronavirus-2019/advice-for-public/q-a-coronaviruses)?"
"2020/03/31 4:47:26 PM GMT+2","Todo el país","100","0"
"2020/03/31 4:48:14 PM GMT+2","Todo el país","100","6"
"2020/03/31 4:48:20 PM GMT+2","Todo el país","200","6"
"2020/03/31 4:48:29 PM GMT+2","Comunidad de Madrid","200","0"
"2020/03/31 4:49:25 PM GMT+2","Todo el país","100","10"
"2020/03/31 4:53:35 PM GMT+2","Comunidad de Madrid","50","0"
"2020/03/31 4:56:32 PM GMT+2","Comunidad de Madrid","25","10"
"2020/03/31 5:01:07 PM GMT+2","Galicia","200","5"
"2020/03/31 5:04:53 PM GMT+2","Comunidad de Madrid","100","7"
"2020/03/31 5:05:24 PM GMT+2","Castilla-La Mancha","1000","15"
"2020/03/31 5:05:33 PM GMT+2","Todo el país","100","0"
"2020/03/31 5:10:41 PM GMT+2","Aragón","20","0"
"2020/03/31 5:12:09 PM GMT+2","Comunidad de Madrid","100","4"
"2020/03/31 5:23:01 PM GMT+2","Todo el país","100","15"
"2020/03/31 5:24:09 PM GMT+2","Comunidad de Madrid","500","0"
"2020/03/31 5:24:42 PM GMT+2","Comunidad de Madrid","100","0"
"2020/03/31 5:28:11 PM GMT+2","Galicia","50","10"
"2020/03/31 5:28:19 PM GMT+2","Comunidad de Madrid","100","9"
"2020/03/31 5:29:56 PM GMT+2","Cataluña","15","2"
"2020/03/31 5:40:34 PM GMT+2","Galicia","100","0"
"2020/03/31 5:41:29 PM GMT+2","Comunidad de Madrid","50","3"
"2020/03/31 5:42:53 PM GMT+2","Galicia","75","6"
"2020/03/31 5:45:48 PM GMT+2","Comunidad de Madrid","50","5"
"2020/03/31 5:50:13 PM GMT+2","Comunidad de Madrid","60","0"
"2020/03/31 5:52:18 PM GMT+2","Comunidad de Madrid","100","4"
"2020/03/31 5:53:13 PM GMT+2","Comunidad de Madrid","50","2"
"2020/03/31 6:08:52 PM GMT+2","Comunidad de Madrid","300","21"
"2020/03/31 6:31:44 PM GMT+2","Galicia","100","6"
"2020/03/31 6:47:17 PM GMT+2","Todo el país","50","4"
"2020/03/31 7:29:37 PM GMT+2","Comunidad de Madrid","50","0"
"2020/03/31 7:32:00 PM GMT+2","Comunidad de Madrid","20","0"
"2020/03/31 7:36:12 PM GMT+2","Extremadura","40","0"
"2020/03/31 7:39:27 PM GMT+2","Andalucía","100","0"
"2020/03/31 7:39:55 PM GMT+2","Comunidad de Madrid","50","6"
"2020/03/31 8:05:59 PM GMT+2","Extremadura","20","0"
"2020/03/31 8:38:11 PM GMT+2","Comunidad de Madrid","1000","4"
"2020/03/31 9:01:59 PM GMT+2","Comunidad de Madrid","50","5"
"2020/03/31 9:02:46 PM GMT+2","Comunidad de Madrid","40","10"
"2020/03/31 9:06:30 PM GMT+2","Comunidad de Madrid","20","2"
"2020/03/31 10:13:41 PM GMT+2","Comunidad de Madrid","150","1"
"2020/03/31 10:52:19 PM GMT+2","Comunidad de Madrid","100","8"
"2020/03/31 11:24:44 PM GMT+2","Andalucía","30","10"
"2020/04/01 1:10:00 AM GMT+2","Comunidad de Madrid","100","2"
"2020/04/01 1:46:28 AM GMT+2","Comunidad de Madrid","100","2"
"2020/04/01 1:58:58 AM GMT+2","Comunidad de Madrid","100","6"
"2020/04/01 3:51:35 AM GMT+2","Comunidad de Madrid","100","4"
