Timestamp,Region,"Por favor, dime con cuántas personas te relacionas directamente habitualmente (incluido contacto remoto, por teléfono, Internet y redes sociales; aproximadamente)","Por favor, dime de las anteriores cuántas sabes que tienen los síntomas del coronavirus (o la enfermedad)."
2020/03/19 9:02:16 PM GMT+1,,0,0
2020/03/19 9:02:30 PM GMT+1,,,0
2020/03/19 9:04:24 PM GMT+1,,,3
2020/03/19 9:04:29 PM GMT+1,,2,2
2020/03/19 9:05:41 PM GMT+1,,,0
2020/03/19 9:06:08 PM GMT+1,,,0
2020/03/19 9:07:17 PM GMT+1,,,2
2020/03/19 9:10:20 PM GMT+1,,,1
2020/03/19 9:10:40 PM GMT+1,,,6
2020/03/19 9:10:46 PM GMT+1,,,1
2020/03/19 9:11:05 PM GMT+1,,0,0
2020/03/19 9:11:42 PM GMT+1,,80,8
2020/03/19 9:15:24 PM GMT+1,,,1
2020/03/19 9:16:23 PM GMT+1,,80,0
2020/03/19 9:18:34 PM GMT+1,,150,3
2020/03/19 9:19:22 PM GMT+1,,100,1
2020/03/19 9:22:16 PM GMT+1,,0,0
2020/03/19 9:23:25 PM GMT+1,,3,3
2020/03/19 9:27:56 PM GMT+1,,2500,3
2020/03/19 9:27:57 PM GMT+1,,,3
2020/03/19 9:28:28 PM GMT+1,,50,2
2020/03/19 9:28:59 PM GMT+1,,,0
2020/03/19 9:29:28 PM GMT+1,,50,0
2020/03/19 9:31:46 PM GMT+1,,1000,4
2020/03/19 9:32:12 PM GMT+1,,60,0
2020/03/19 9:33:26 PM GMT+1,,1000,4
2020/03/19 9:38:41 PM GMT+1,,60,2
2020/03/19 9:41:04 PM GMT+1,,1,1
2020/03/19 9:42:04 PM GMT+1,,200,4
2020/03/19 9:42:49 PM GMT+1,,2,2
2020/03/19 9:45:47 PM GMT+1,,,0
2020/03/19 9:46:17 PM GMT+1,,1000,11
2020/03/19 9:48:30 PM GMT+1,,3,2
2020/03/19 9:49:42 PM GMT+1,,50,8
2020/03/19 9:52:21 PM GMT+1,,50,0
2020/03/19 9:52:57 PM GMT+1,,30,2
2020/03/19 9:53:37 PM GMT+1,,100,2
2020/03/19 9:54:02 PM GMT+1,,2,2
2020/03/19 9:54:17 PM GMT+1,,1,1
2020/03/19 9:54:22 PM GMT+1,,2,2
2020/03/19 9:58:04 PM GMT+1,,300,0
2020/03/19 9:58:27 PM GMT+1,,2000,30
2020/03/19 9:58:52 PM GMT+1,,200,2
2020/03/19 9:59:24 PM GMT+1,,700,1
2020/03/19 9:59:47 PM GMT+1,,0,0
2020/03/19 9:59:52 PM GMT+1,,50,6
2020/03/19 10:01:17 PM GMT+1,,5,0
2020/03/19 10:04:53 PM GMT+1,,200,2
2020/03/19 10:05:52 PM GMT+1,,100,3
2020/03/19 10:06:19 PM GMT+1,,200,15
2020/03/19 10:07:31 PM GMT+1,,4,0
2020/03/19 10:07:57 PM GMT+1,,150,0
2020/03/19 10:08:37 PM GMT+1,,5000,0
2020/03/19 10:08:39 PM GMT+1,,40,2
2020/03/19 10:11:15 PM GMT+1,,5000,4
2020/03/19 10:12:00 PM GMT+1,,50,1
2020/03/19 10:12:57 PM GMT+1,,100,1
2020/03/19 10:16:06 PM GMT+1,,100,4
2020/03/19 10:17:28 PM GMT+1,,,15
2020/03/19 10:18:50 PM GMT+1,,250,0
2020/03/19 10:21:26 PM GMT+1,,30,0
2020/03/19 10:21:29 PM GMT+1,,,0
2020/03/19 10:23:50 PM GMT+1,,200,2
2020/03/19 10:24:34 PM GMT+1,,1,1
2020/03/19 10:26:19 PM GMT+1,,2,2
2020/03/19 10:26:42 PM GMT+1,,,
2020/03/19 10:28:25 PM GMT+1,,8,6
2020/03/19 10:28:49 PM GMT+1,,,0
2020/03/19 10:30:26 PM GMT+1,,60,3
2020/03/19 10:31:26 PM GMT+1,,50,2
2020/03/19 10:32:15 PM GMT+1,,100,2
2020/03/19 10:36:04 PM GMT+1,,0,0
2020/03/19 10:36:16 PM GMT+1,,500,1
2020/03/19 10:37:11 PM GMT+1,,,0
2020/03/19 10:38:43 PM GMT+1,,29,2
2020/03/19 10:40:13 PM GMT+1,,50,0
2020/03/19 10:40:24 PM GMT+1,,,0
2020/03/19 10:40:32 PM GMT+1,,,0
2020/03/19 10:41:06 PM GMT+1,,,1
2020/03/19 10:42:18 PM GMT+1,,3,3
2020/03/19 10:42:30 PM GMT+1,,100,1
2020/03/19 10:42:47 PM GMT+1,,100,4
2020/03/19 10:42:53 PM GMT+1,,200,2
2020/03/19 10:43:18 PM GMT+1,,25,0
2020/03/19 10:43:24 PM GMT+1,,100,0
2020/03/19 10:46:13 PM GMT+1,,80,1
2020/03/19 10:47:07 PM GMT+1,,20,0
2020/03/19 10:47:55 PM GMT+1,,50,0
2020/03/19 10:48:07 PM GMT+1,,2000,0
2020/03/19 10:50:34 PM GMT+1,,5,5
2020/03/19 10:51:04 PM GMT+1,,12,0
2020/03/19 10:51:51 PM GMT+1,,4,4
2020/03/19 10:53:21 PM GMT+1,,0,0
2020/03/19 10:57:07 PM GMT+1,,20,1
2020/03/19 10:57:34 PM GMT+1,,1000,60
2020/03/19 10:57:47 PM GMT+1,,,0
2020/03/19 10:59:20 PM GMT+1,,100,1
2020/03/19 11:01:21 PM GMT+1,,50,0
2020/03/19 11:01:27 PM GMT+1,,200,1
2020/03/19 11:02:15 PM GMT+1,,80,2
2020/03/19 11:10:17 PM GMT+1,,2,2
2020/03/19 11:15:34 PM GMT+1,,,0
2020/03/19 11:19:48 PM GMT+1,,6,3
2020/03/19 11:54:50 PM GMT+1,,20,6
2020/03/19 11:54:51 PM GMT+1,,15,3
2020/03/19 11:59:34 PM GMT+1,,50,4
2020/03/20 12:28:34 AM GMT+1,,15,0
2020/03/20 3:39:30 AM GMT+1,,60,2
2020/03/20 6:23:40 AM GMT+1,,10,1
2020/03/20 6:25:03 AM GMT+1,,70,0
2020/03/20 6:58:36 AM GMT+1,,20,0
2020/03/20 7:02:01 AM GMT+1,,20,0
2020/03/20 7:40:13 AM GMT+1,,7,0
2020/03/20 7:47:20 AM GMT+1,,25,1
2020/03/20 7:49:41 AM GMT+1,,,0
2020/03/20 7:49:49 AM GMT+1,,20,3
2020/03/20 7:52:12 AM GMT+1,,50,4
2020/03/20 8:10:06 AM GMT+1,,8,0
2020/03/20 8:37:36 AM GMT+1,,20,0
2020/03/20 8:43:34 AM GMT+1,,5,0
2020/03/20 8:52:08 AM GMT+1,,3,0
2020/03/20 9:07:38 AM GMT+1,,16,0
2020/03/20 9:14:18 AM GMT+1,,4,0
2020/03/20 9:19:37 AM GMT+1,,30,1
2020/03/20 9:24:41 AM GMT+1,,,0
2020/03/20 9:27:13 AM GMT+1,,15,0
2020/03/20 9:32:35 AM GMT+1,,50,4
2020/03/20 9:33:49 AM GMT+1,,8,0
2020/03/20 9:40:45 AM GMT+1,,15,0
2020/03/20 9:42:30 AM GMT+1,,2,0
2020/03/20 9:49:15 AM GMT+1,,6,0
2020/03/20 10:01:59 AM GMT+1,,20,0
2020/03/20 10:14:12 AM GMT+1,,30,0
2020/03/20 10:22:22 AM GMT+1,,10,0
2020/03/20 10:28:08 AM GMT+1,,30,0
2020/03/20 10:37:18 AM GMT+1,,50,0
2020/03/20 10:50:49 AM GMT+1,,50,0
2020/03/20 10:53:30 AM GMT+1,,20,1
2020/03/20 10:53:59 AM GMT+1,,15,0
2020/03/20 11:01:53 AM GMT+1,,15,0
2020/03/20 11:11:46 AM GMT+1,,100,0
2020/03/20 11:25:12 AM GMT+1,,10,0
2020/03/20 11:27:39 AM GMT+1,,50,1
2020/03/20 11:31:57 AM GMT+1,,20,0
2020/03/20 11:33:48 AM GMT+1,,100,0
2020/03/20 11:36:46 AM GMT+1,,50,0
2020/03/20 11:37:26 AM GMT+1,,10,0
2020/03/20 11:40:16 AM GMT+1,,,3
2020/03/20 11:51:23 AM GMT+1,,20,0
2020/03/20 12:14:55 PM GMT+1,,15,2
2020/03/20 12:22:16 PM GMT+1,,10,0
2020/03/20 12:34:53 PM GMT+1,,50,0
2020/03/20 12:45:25 PM GMT+1,,12,0
2020/03/20 12:52:42 PM GMT+1,,50,0
2020/03/20 12:59:02 PM GMT+1,,20,14
2020/03/20 12:59:31 PM GMT+1,,1,0
2020/03/20 1:06:16 PM GMT+1,,100,2
2020/03/20 1:11:35 PM GMT+1,,100,10
2020/03/20 1:11:44 PM GMT+1,,20,1
2020/03/20 1:17:02 PM GMT+1,,100,2
2020/03/20 1:44:41 PM GMT+1,,50,0
2020/03/20 1:56:19 PM GMT+1,,40000,1000
2020/03/20 2:03:35 PM GMT+1,,20,1
2020/03/20 2:05:48 PM GMT+1,,8,0
2020/03/20 2:35:08 PM GMT+1,,100,11
2020/03/20 3:28:41 PM GMT+1,,60,3
2020/03/20 3:33:19 PM GMT+1,,25,1
2020/03/20 4:09:25 PM GMT+1,,15,2
2020/03/20 4:11:40 PM GMT+1,,200,4
2020/03/20 4:22:34 PM GMT+1,,50,1
2020/03/20 4:23:11 PM GMT+1,,30,2
2020/03/20 4:24:34 PM GMT+1,,20,1
2020/03/20 4:25:04 PM GMT+1,,10,0
2020/03/20 4:54:30 PM GMT+1,,100,0
2020/03/20 5:30:12 PM GMT+1,,,2
2020/03/20 6:03:38 PM GMT+1,,25,0
2020/03/20 6:03:55 PM GMT+1,,25,0
2020/03/20 6:28:49 PM GMT+1,,4,0
2020/03/20 6:45:02 PM GMT+1,,150,0
2020/03/20 6:45:54 PM GMT+1,,25,1
2020/03/20 7:31:36 PM GMT+1,,50,2
