"Timestamp","Por favor, elige una comunidad autónoma.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/25 11:12:54 AM GMT+1","Comunidad de Madrid","100","0"
"2020/03/25 11:23:11 AM GMT+1","Comunidad de Madrid","100","15"
"2020/03/25 11:30:56 AM GMT+1","Comunidad de Madrid","40","3"
"2020/03/25 11:36:57 AM GMT+1","Comunidad de Madrid","100","5"
"2020/03/25 11:43:07 AM GMT+1","Comunidad de Madrid","150","10"
"2020/03/25 12:04:15 PM GMT+1","Principado de Asturias","100","1"
"2020/03/25 12:16:20 PM GMT+1","Comunidad de Madrid","50","2"
"2020/03/25 12:19:03 PM GMT+1","Aragón","50","1"
"2020/03/25 12:24:12 PM GMT+1","Comunidad de Madrid","15","0"
"2020/03/25 12:24:12 PM GMT+1","Comunidad de Madrid","20","6"
"2020/03/25 12:24:24 PM GMT+1","Comunidad de Madrid","20","1"
"2020/03/25 12:24:25 PM GMT+1","Castilla-La Mancha","200","0"
"2020/03/25 12:24:43 PM GMT+1","Comunidad de Madrid","500","5"
"2020/03/25 12:24:44 PM GMT+1","Castilla-La Mancha","500","5"
"2020/03/25 12:24:47 PM GMT+1","Comunidad de Madrid","40","2"
"2020/03/25 12:24:53 PM GMT+1","Principado de Asturias","100","0"
"2020/03/25 12:25:04 PM GMT+1","Cantabria","100","0"
"2020/03/25 12:25:06 PM GMT+1","Castilla y León","200","0"
"2020/03/25 12:25:07 PM GMT+1","Cataluña","50","4"
"2020/03/25 12:25:07 PM GMT+1","Comunidad de Madrid","70","6"
"2020/03/25 12:25:08 PM GMT+1","Todo el país","80","6"
"2020/03/25 12:25:11 PM GMT+1","Galicia","50","0"
"2020/03/25 12:25:11 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/25 12:25:14 PM GMT+1","Andalucía","100","2"
"2020/03/25 12:25:17 PM GMT+1","Andalucía","100","0"
"2020/03/25 12:25:22 PM GMT+1","Canarias","100","5"
"2020/03/25 12:25:36 PM GMT+1","Andalucía","150","3"
"2020/03/25 12:25:39 PM GMT+1","Andalucía","80","1"
"2020/03/25 12:25:40 PM GMT+1","Canarias","15","1"
"2020/03/25 12:25:41 PM GMT+1","Todo el país","100","0"
"2020/03/25 12:25:42 PM GMT+1","Comunidad de Madrid","200","4"
"2020/03/25 12:25:44 PM GMT+1","Canarias","30","3"
"2020/03/25 12:25:48 PM GMT+1","Andalucía","100","0"
"2020/03/25 12:25:48 PM GMT+1","Galicia","50","0"
"2020/03/25 12:25:49 PM GMT+1","Comunidad de Madrid","100","6"
"2020/03/25 12:25:49 PM GMT+1","Cataluña","40","3"
"2020/03/25 12:25:53 PM GMT+1","Canarias","30","0"
"2020/03/25 12:25:53 PM GMT+1","Comunidad de Madrid","1000","10"
"2020/03/25 12:26:08 PM GMT+1","Galicia","50","1"
"2020/03/25 12:26:14 PM GMT+1","Comunidad de Madrid","80","8"
"2020/03/25 12:26:23 PM GMT+1","Comunidad de Madrid","100","5"
"2020/03/25 12:26:23 PM GMT+1","Andalucía","20","0"
"2020/03/25 12:26:24 PM GMT+1","Extremadura","10","0"
"2020/03/25 12:26:32 PM GMT+1","Andalucía","200","0"
