"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"92",NA,884,21,16165,533,0.00548517939093212,0.00545581093511743,0.00551470593620541,11513102
"93",NA,764,26,16929,559,0.00575185229733592,0.0057219832508264,0.0057818772618026,11513102
"94",NA,913,26,17842,585,0.00605649342481568,0.00602592963725938,0.00608721223328426,11513102
"95",NA,617,26,18459,611,0.00624618773644277,0.00621550157293764,0.0062770253986837,11513102
"96",NA,614,21,19073,632,0.00637116936346084,0.00634049513367873,0.00640199198991432,11513102
"97",NA,810,27,19883,659,0.00661417235606655,0.00658311584874504,0.00664537537556696,11513102
"98",NA,802,20,20685,679,0.00677774992560908,0.00674646968366524,0.00680917519948546,11513102
"99",NA,814,18,21499,697,0.0069184489209503,0.00688698800129516,0.00695005355937849,11513102
"100",NA,977,18,22476,715,0.00710357742669595,0.00707173192404805,0.00713556633636915,11513102
"101",NA,1036,25,23512,740,0.00736681329578227,0.00733442439873806,0.00739934522254425,11513102
"102",NA,876,33,24388,773,0.00764689739375766,0.00761409580052104,0.00767984029655316,11513102
"103",NA,1105,47,25493,820,0.00812430353619725,0.00809058705162993,0.00815816052989257,11513102
"104",NA,896,26,26389,846,0.00831488435248463,0.00828094348261408,0.00834896433484279,11513102
"105",NA,1098,30,27487,876,0.00859636150957417,0.00856190978655539,0.00863095186068512,11513102
"106",NA,1016,37,28503,913,0.00890926904751406,0.00887432745581832,0.00894434821750362,11513102
"107",NA,920,21,29423,934,0.00902582248793821,0.00899081872527486,0.00906096253000371,11513102
"108",NA,1253,36,30676,970,0.00938111945537708,0.00934542730599561,0.00941694792057223,11513102
"109",NA,848,44,31524,1014,0.00967960364372722,0.00964358397319197,0.00971575785103522,11513102
"110",NA,601,57,32125,1071,0.0100128892849729,0.00997661904760633,0.0100492913836557,11513102
"111",NA,1094,52,33219,1123,0.0104458371717009,0.0104088449444625,0.0104829608664445,11513102
"112",NA,1008,78,34227,1201,0.0110903593857392,0.0110523022633007,0.0111285475527811,11513102
"113",NA,1301,70,35528,1271,0.0117509055137223,0.0117115993901035,0.0117903435553911,11513102
"114",NA,1290,49,36818,1320,0.0122072361992847,0.0121670658814073,0.0122475391419423,11513102
"115",NA,1253,58,38071,1378,0.0127227126329422,0.0126816043736093,0.0127639541474167,11513102
"116",NA,1226,56,39297,1434,0.0131962868538161,0.0131543449203668,0.0132383625169032,11513102
"117",NA,1212,42,40509,1476,0.0135225019175432,0.0134800137753416,0.0135651239796545,11513102
"118",NA,1036,54,41545,1530,0.0138874768222065,0.0138444576574913,0.0139306296612467,11513102
"119",NA,1439,47,42984,1577,0.0143137512134798,0.0142699238513037,0.0143577131830788,11513102
"120",NA,1129,61,44113,1638,0.014754710595941,0.0147101820199392,0.0147993739625305,11513102
"121",NA,1452,64,45565,1702,0.0153204643835411,0.0152748840681266,0.0153661807107998,11513102
"122",NA,1635,52,47200,1754,0.0158299842810892,0.015783395745772,0.0158767103338112,11513102
