"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"28681","2020/04/07",68,6,1319,38,0.000209588748841765,0.000199667493447826,0.000220002980367633,0.000271196213997786,0.000243783162525782,43993643
"28680","2020/04/08",143,7,1462,45,0.000232624241977053,0.0002232261573195,0.000242417997089589,0.000278464502366558,0.000248778395216941,43993643
"28679","2020/04/09",206,7,1668,52,0.000263627904138412,0.000254314855994364,0.000273281997501365,0.000294175431345845,0.000261216124020466,43993643
"28678","2020/04/10",224,5,1892,57,0.000284872211400858,0.000275587798566359,0.00029446941138388,0.00029761933838418,0.000261682328121129,43993643
"28677","2020/04/11",311,12,2203,69,0.000350982225247006,0.000341445897150749,0.000360784895842377,0.000318182602485519,0.000277608558640139,43993643
"28676","2020/04/12",308,4,2511,73,0.000370709699988011,0.000361075952284105,0.000380600482518621,0.000348609513440898,0.000302443752628592,43993643
"28675","2020/04/13",266,10,2777,83,0.000408175665752646,0.000398736664634649,0.000417838109433135,0.000373028513846223,0.000322384833349021,43993643
"28674","2020/04/14",325,10,3102,93,0.000447833022306964,0.000438475087158277,0.000457390674504148,0.000358643372233786,0.000306181247194494,43993643
"28673","2020/04/15",270,5,3372,98,0.000451031741205236,0.000441983293547499,0.000460265432075125,0.000392815148725607,0.000334443078924523,43993643
"28672","2020/04/16",789,18,4161,116,0.000581691232736402,0.000571684651294315,0.000591872966112217,0.000470972890716244,0.000398826103508828,43993643
"28671","2020/04/17",301,9,4462,125,0.000593891170549432,0.000584287737592792,0.000603652446840134,0.000492290169436477,0.000415779115328046,43993643
"28670","2020/04/18",644,8,5106,133,0.000637630091123864,0.00062781744464233,0.000647596107078951,0.00054778002357379,0.000460153727201835,43993643
"28669","2020/04/19",343,8,5449,141,0.000636863313412262,0.000627504763919793,0.000646361435468382,0.000577063686694984,0.000483186487209595,43993643
"28668","2020/04/20",261,10,5710,151,0.000632643248959086,0.000623850091052827,0.000641560346297387,0.000583228095012499,0.000486668689827527,43993643
"28667","2020/04/21",415,10,6125,161,0.000644876966177391,0.000636366228441385,0.000653501526196185,0.000594363437397922,0.00049305334584674,43993643
"28666","2020/04/22",467,13,6592,174,0.000674116815286267,0.000665773020132084,0.000682565178987791,0.000608393253429125,0.000501559636581346,43993643
"28665","2020/04/23",578,13,7170,187,0.000713163981843009,0.000704841867431229,0.000721584356008477,0.000616335460489521,0.000503432784982516,43993643
"28664","2020/04/24",477,6,7647,193,0.000714032068307207,0.00070588939795699,0.000722268667083923,0.000615403565450149,0.00049865942584798,43993643
"28663","2020/04/25",478,8,8125,201,0.000721402731393799,0.00071342864685881,0.000729465943306069,0.000618746393912989,0.000497183376274282,43993643
"28662","2020/04/26",492,8,8617,209,0.000729158911028811,0.000721336699967361,0.000737065946536171,0.000613458804675896,0.000488099784055576,43993643
"28661","2020/04/27",392,11,9009,220,0.000738371342774366,0.000730764777932253,0.000746057084706624,0.000609472209471033,0.000481340060924025,43993643
"28660","2020/04/28",0,0,9009,220,0.000682208954950633,0.000675158194374328,0.000689333347492186,0.000499173150920439,0.000388975411669793,43993643
"28659","2020/04/29",401,19,9410,239,0.000719316735400545,0.000712366150143717,0.000726335137798043,0.000489763256486352,0.000377292461558094,43993643
"28658","2020/04/30",456,11,9866,250,0.000737891648173153,0.000731007322965801,0.000744840807113454,0.000443446307530286,0.000335248857275939,43993643
"28657","2020/05/01",540,0,10406,250,0.00073156243333074,0.000724721697302595,0.000738467739896212,0.000441320533241069,0.000328645163301825,43993643
"28656","2020/05/02",455,29,10861,279,0.000803516875253876,0.000796637004241491,0.000810456161815496,0.000446064606444082,0.000328979508490271,43993643
"28655","2020/05/03",550,0,11411,279,0.000797735431560452,0.000790891321235236,0.000804638768539048,0.000440821036522949,0.000320667313404361,43993643
"28654","2020/05/04",502,9,11913,288,0.000813720055440017,0.000806903080860497,0.000820594621994981,0.000427353497073883,0.00030640420446813,43993643
"28653","2020/05/05",418,15,12331,303,0.00083985655871068,0.00083308896793645,0.00084667912594799,0.000398332446422867,0.000281020042901295,43993643
"28652","2020/05/06",366,13,12697,316,0.000856049273908387,0.000849365668333762,0.000862785472359251,0.000378469205839638,0.000263679894120216,43993643
"28651","2020/05/07",487,11,13184,327,0.000874769637013956,0.00086811017923409,0.000881480180910519,0.000368341393307403,0.000253347506576995,43993643
"28650","2020/05/08",507,13,13691,340,0.000900111378104568,0.000893453607205857,0.000906818760883495,0.000360041605747032,0.000244706760664982,43993643
"28649","2020/05/09",504,21,14195,361,0.000945906454109645,0.000939215055556213,0.000952645525253434,0.000361498403209127,0.000243617735768152,43993643
"28648","2020/05/10",515,15,14710,376,0.000975965981942851,0.00096926246245048,0.000982715863669731,0.000395667164643564,0.000266080260462885,43993643
"28647","2020/05/11",522,15,15232,391,0.00100582638164496,0.000999108554090876,0.00101258937867223,0.000399483656360242,0.000267146354809652,43993643
"28646","2020/05/12",416,17,15648,408,0.00103308949790034,0.00102639530846041,0.00103982734709971,0.000392843339000352,0.000261415259720807,43993643
"28645","2020/05/13",375,17,16023,425,0.00105704221254354,0.00105038640165642,0.00106374019821367,0.000379619133010488,0.000251941595599003,43993643
"28644","2020/05/14",402,14,16425,439,0.00107527057054149,0.00106864938412202,0.00108193278080869,0.000372274515626003,0.000245801697723653,43993643
"28643","2020/05/15",422,17,16847,456,0.00110243346383042,0.00109582006261597,0.00110908677768847,0.000361439203820205,0.000237875897185199,43993643
"28642","2020/05/16",483,27,17330,483,0.00115780302773747,0.00115112692629721,0.00116451784804479,0.000359418816883487,0.000236287390827227,43993643
"28641","2020/05/17",528,14,17858,497,0.00118498381756864,0.00117827892384257,0.00119172686490925,0.000365985022822607,0.000240353235520974,43993643
"28640","2020/05/18",433,17,18291,514,0.00121288956407377,0.00120617762020252,0.00121963885749435,0.000370021343524217,0.000242866608918583,43993643
"28639","2020/05/19",325,21,18616,535,0.0012426375512518,0.00123593972980806,0.00124937166962088,0.000359402569771097,0.000235930185363195,43993643
"28638","2020/05/20",260,13,18876,548,0.00124951842892715,0.00124288566049137,0.00125618659371395,0.000343280978947917,0.000225423042063718,43993643
"28637","2020/05/21",354,16,19230,564,0.00127019508493225,0.00126357523498055,0.00127684961616938,0.000333078821921867,0.000218630468554087,43993643
"28636","2020/05/22",476,15,19706,579,0.00129754210008548,0.00129089072429562,0.00130422774740512,0.000330252293291687,0.000216690431638175,43993643
"28635","2020/05/23",442,9,20148,588,0.00130990294333626,0.00130325083934065,0.00131658900126172,0.000324518872569407,0.000212775455457985,43993643
"28634","2020/05/24",432,17,20580,605,0.00133968914234226,0.00133300591485686,0.00134640587720307,0.000325176080181903,0.000213068974162062,43993643
"28633","2020/05/25",406,12,20986,617,0.00135674305374865,0.00135005528215229,0.00136346395457276,0.00032668507972547,0.00021387332644557,43993643
"28632","2020/05/26",259,6,21245,623,0.00135141172229268,0.00134478708985825,0.00135806898870704,0.000316843155827562,0.000207281872166647,43993643
"28631","2020/05/27",339,21,21584,644,0.00138408314474663,0.00137743551185723,0.00139076285973545,0.000310966851535481,0.000203292204086985,43993643
"28630","2020/05/28",0,0,21584,644,0.00135109535680823,0.00134460236325095,0.00135761970459073,0.000278698019314062,0.000182002230788433,43993643
"28629","2020/05/29",798,25,22382,669,0.00142252400725746,0.0014158450634107,0.00142923445758192,0.00029438027295397,0.000191547234098788,43993643
"28628","2020/05/30",822,27,23204,696,0.00150119043953997,0.00149430832922718,0.00150810424574941,0.0003188472881637,0.000207172062722606,43993643
"28627","2020/05/31",0,0,23204,696,0.0014686808619467,0.00146194428988517,0.00147544847582253,0.00029715319683598,0.000192865402347126,43993643
"28626","2020/06/01",468,12,23672,708,0.00149090237564913,0.00148413120989364,0.00149770443401396,0.000309417626355408,0.000200401876057121,43993643
"28625","2020/06/02",668,19,24340,727,0.0015405766713358,0.00153368740319811,0.00154749688581586,0.000328315351446799,0.000212162206320809,43993643
"28624","2020/06/03",483,8,24823,735,0.00155502389958459,0.00154811207534785,0.00156196658290126,0.000327230401948321,0.000210918142924898,43993643
"28623","2020/06/04",588,12,25411,747,0.00158376894647799,0.00157679353096429,0.00159077521981843,0.000335141951337474,0.000215511031024737,43993643
"28622","2020/06/05",553,15,25964,762,0.00161584917407635,0.00160881218683775,0.00162291694128405,0.000341435717977901,0.000219054400295253,43993643
"28621","2020/06/06",550,15,26514,777,0.0016468213045595,0.00163972747509226,0.00165394582352685,0.000349349116331031,0.000223694598472622,43993643
"28620","2020/06/07",0,0,26514,777,0.00161172090227716,0.00160477501547891,0.00161869685269364,0.000332873915762719,0.000213106612109325,43993643
"28619","2020/06/08",485,11,26999,788,0.0016295816804307,0.00162261279559457,0.00163658049560881,0.000340408596697886,0.000217322631755178,43993643
"28618","2020/06/09",463,9,27462,797,0.00164277524628962,0.00163579288802935,0.00164978740864504,0.000368105229828469,0.000234495017098417,43993643
"28617","2020/06/10",394,13,27856,810,0.00166060361705998,0.00165360787651216,0.00166762895373305,0.000340874916285768,0.000216447848493269,43993643
"28616","2020/06/11",525,23,28381,833,0.00170699916789204,0.00169991872546277,0.00171410910153419,0.000319271922479747,0.000201595830049756,43993643
"28615","2020/06/12",689,21,29070,854,0.0017592876863674,0.00175208893721797,0.00176651601277642,0.000360969521926157,0.000227632075877417,43993643
"28614","2020/06/13",683,16,29753,870,0.00180055052045753,0.00179325582812823,0.00180787488648723,0.000372826935332878,0.000234602419577272,43993643
"28613","2020/06/14",753,10,30506,880,0.00183254524392947,0.00182516484327988,0.00183995548863066,0.00037578046364797,0.000235623850566394,43993643
"28612","2020/06/15",648,9,31154,889,0.0018546450492074,0.00184721443993203,0.00186210554886963,0.000384099606864833,0.000240192451915196,43993643
"28611","2020/06/16",656,12,31810,901,0.00188191112753015,0.00187442341069888,0.00188942875537461,0.000386261460535381,0.000240808627724968,43993643
"28610","2020/06/17",666,11,32476,912,0.00190629940430579,0.00189876153163355,0.00191386720149645,0.000390939282180335,0.00024291789645422,43993643
"28609","2020/06/18",758,31,33234,943,0.00197677152667948,0.00196909109053561,0.00198448192035026,0.000401864160762728,0.00024911481922718,43993643
"28608","2020/06/19",829,23,34063,966,0.00203361669693823,0.0020258125784944,0.00204145087949824,0.000451356813839727,0.000279763840736772,43993643
"28607","2020/06/20",921,19,34984,985,0.00208616289234368,0.0020782353432966,0.0020941206814856,0.000477004607411842,0.000295501111554497,43993643
