"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"79",NA,152,1,7768,35,0.000113712652660568,0.000107353731440123,0.000120448234091567,30417858
"80",NA,302,1,8070,36,0.000118212643158706,0.000111774771971645,0.000125021315240192,30417858
"81",NA,0,0,8070,36,0.000115014918413045,0.000108750215445086,0.000121640508052503,30417858
"82",NA,227,2,8297,38,0.000121474522025666,0.000115186563236958,0.000128105736352324,30417858
"83",NA,251,0,8548,38,0.000121901677737863,0.000115590655411264,0.000128557269464689,30417858
"84",NA,337,0,8885,38,0.000123473601603893,0.000117080277331393,0.000130216041852072,30417858
"85",NA,283,4,9168,42,0.000137196625867679,0.000130732351111569,0.000143980537253646,30417858
"86",NA,294,2,9462,44,0.00014442951980307,0.000137915628614966,0.000151251068497698,30417858
"87",NA,176,0,9638,44,0.000143142316138541,0.000136685423145235,0.000149904226786018,30417858
"88",NA,272,4,9910,48,0.000156173745854148,0.000149682507976477,0.000162946487360762,30417858
"89",NA,291,0,10201,48,0.000156380003783103,0.000149879091122417,0.00016316288950024,30417858
"90",NA,157,0,10358,48,0.000154469465018552,0.000148046915518898,0.000161170636615335,30417858
"91",NA,0,0,10358,48,0.000150303910167413,0.000144053565970385,0.000156825450723367,30417858
"92",NA,760,0,11118,48,0.00015714176492517,0.000150606098136353,0.000163961051971753,30417858
"93",NA,304,3,11422,51,0.000167151584676181,0.000160583862682372,0.000173987920037906,30417858
"94",NA,542,3,11964,54,0.000180463311972803,0.000173742012776212,0.00018744462808855,30417858
"95",NA,0,0,11964,54,0.000175465156951357,0.000168928941364704,0.000182254272448765,30417858
"96",NA,229,4,12193,58,0.00018663500501518,0.000180131906093207,0.000193372877978611,30417858
"97",NA,397,8,12590,66,0.000213237327510341,0.000206650804612438,0.000220033780797657,30417858
"98",NA,339,0,12929,66,0.000213084536176479,0.000206501558166971,0.000219877370227067,30417858
"99",NA,274,4,13203,70,0.000224639676038321,0.000218068266925547,0.000231409112210861,30417858
"100",NA,508,15,13711,85,0.000275791990596114,0.000269048941801059,0.000282704037294481,30417858
"101",NA,443,0,14154,85,0.000277202708843195,0.000270423783185559,0.000284151567161823,30417858
"102",NA,0,0,14154,85,0.000269794109153725,0.000263195025108972,0.000276558651911885,30417858
"103",NA,414,10,14568,95,0.000302102030080212,0.000295427464035128,0.000308927393993855,30417858
"104",NA,445,0,15013,95,0.000303304699437207,0.000296602187593415,0.000310158672284643,30417858
"105",NA,460,0,15473,95,0.000304662050499724,0.000297928219238484,0.000311548081118147,30417858
"106",NA,361,8,15834,103,0.000329430137470812,0.000322664109046531,0.000336338044521674,30417858
"107",NA,597,0,16431,103,0.000333112277281628,0.000326269238597921,0.000340098839083322,30417858
"108",NA,920,9,17351,112,0.000372631548830937,0.000365533668923528,0.000379867254343656,30417858
"109",NA,0,0,17351,112,0.000362640625514328,0.000355731549107099,0.000369683891135083,30417858
"110",NA,390,0,17741,112,0.000360533222483008,0.000353662795296068,0.00036753711796336,30417858
"111",NA,393,5,18134,117,0.000374475015992584,0.000367612235583054,0.000381465914430815,30417858
"112",NA,0,0,18134,117,0.000364502241124047,0.000357820839364258,0.000371308401211371,30417858
"113",NA,1254,0,19388,117,0.00037973550931309,0.000372773530908955,0.000386827510745366,30417858
"114",NA,0,0,19388,117,0.000370212074761806,0.000363423441665449,0.000377127517342728,30417858
"115",NA,697,5,20085,122,0.000389739750562287,0.000382854492348877,0.000396748833313772,30417858
"116",NA,992,7,21077,129,0.000421535516358555,0.000414448324828813,0.000428743901003988,30417858
"117",NA,891,0,21968,129,0.000428027059114215,0.000420829341483728,0.000435347883985527,30417858
"118",NA,854,0,22822,129,0.000432626906128896,0.00042535040923038,0.000440027882529407,30417858
"119",NA,641,0,23463,129,0.000432104835782496,0.000424835654560916,0.000439498396855589,30417858
"120",NA,371,6,23834,135,0.000445785838202865,0.000438581049347321,0.000453108983705442,30417858
"121",NA,414,0,24248,135,0.000440046912402083,0.00043293340855657,0.000447277297818666,30417858
