"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"19772","2020/04/10",5,0,27,3,8.95545154451957e-06,5.47598936044964e-06,1.46457757835476e-05,4.40167446690595e-06,4.05011832585112e-06,54045422
"19771","2020/04/11",1,0,28,3,8.56900090770945e-06,5.17426629088823e-06,1.41909543166787e-05,4.70771021360986e-06,4.33765111776267e-06,54045422
"19770","2020/04/12",3,0,31,3,8.75373870551021e-06,5.2291987460951e-06,1.46538590413243e-05,5.44382848861476e-06,5.12927825714464e-06,54045422
"19769","2020/04/13",10,1,41,4,1.42471188763177e-05,9.92773023436964e-06,2.04458009518845e-05,8.35536949648357e-06,7.87429267188222e-06,54045422
"19768","2020/04/14",21,0,62,4,1.97352982305339e-05,1.35422366871219e-05,2.87605367744381e-05,1.46212129853573e-05,1.37700770649088e-05,54045422
"19767","2020/04/15",12,0,74,4,2.10001238504306e-05,1.42363241423686e-05,3.09774628143617e-05,1.67370955321363e-05,1.57379359733489e-05,54045422
"19766","2020/04/16",0,0,74,4,1.80965073359912e-05,1.20965509968641e-05,2.70724752738594e-05,1.67370955321363e-05,1.57379359733489e-05,54045422
"19765","2020/04/17",11,0,85,4,1.77176560789864e-05,1.1682088634602e-05,2.6871507891443e-05,1.88210086975726e-05,1.76368195908616e-05,54045422
"19764","2020/04/18",9,1,94,5,2.10197939958975e-05,1.51334633061978e-05,2.91956791839593e-05,2.0833542165265e-05,1.94828264654227e-05,54045422
"19763","2020/04/19",13,0,107,5,2.06909037211247e-05,1.47582858328e-05,2.90083483710134e-05,2.31957124558305e-05,2.16229612984799e-05,54045422
"19762","2020/04/20",4,0,111,5,1.86829852539362e-05,1.32331326868754e-05,2.63772718265712e-05,2.38689731857021e-05,2.22222102091821e-05,54045422
"19761","2020/04/21",8,0,119,5,1.75664012456041e-05,1.23747006649482e-05,2.49362357180583e-05,2.50499077232217e-05,2.32551211083628e-05,54045422
"19760","2020/04/22",2,0,121,5,1.58314621911222e-05,1.10955166025446e-05,2.25888711708523e-05,2.36531678315432e-05,2.19138900810614e-05,54045422
"19759","2020/04/23",6,0,127,5,1.48960243165264e-05,1.03977644298742e-05,2.13403123272363e-05,2.40508812651476e-05,2.2219088740704e-05,54045422
"19758","2020/04/24",5,0,132,5,1.40418972968296e-05,9.76951811772242e-06,2.01826617565739e-05,2.37356353105109e-05,2.18668368764825e-05,54045422
"19757","2020/04/25",12,0,144,5,1.40291655551782e-05,9.73429016309844e-06,2.02189869910299e-05,2.14298253971047e-05,1.95240210534917e-05,54045422
"19756","2020/04/26",2,0,146,5,1.31154668149377e-05,9.07965363989168e-06,1.89451576674664e-05,1.49249528286376e-05,1.33707046260794e-05,54045422
"19755","2020/04/27",0,0,146,5,1.21537571237237e-05,8.39760366898818e-06,1.75899956755476e-05,1.15195273393786e-05,1.01873145943287e-05,54045422
"19754","2020/04/28",0,0,146,5,1.13394631759166e-05,7.82395485287661e-06,1.64345816835451e-05,1.15195273393786e-05,1.01873145943287e-05,54045422
"19753","2020/04/29",4,0,150,5,1.09567506942424e-05,7.54866421464838e-06,1.59035270826883e-05,9.51883421825818e-06,8.3161421567548e-06,54045422
"19752","2020/04/30",0,1,150,6,1.24557302325195e-05,9.15070387056068e-06,1.69544570362972e-05,7.50630075056586e-06,6.47013528219372e-06,54045422
"19751","2020/05/01",1,0,151,6,1.19498627071254e-05,8.77037281273731e-06,1.62820009785398e-05,5.07159079853854e-06,4.25746078767471e-06,54045422
"19750","2020/05/02",0,0,151,6,1.14519365182662e-05,8.39883704980208e-06,1.5614882065308e-05,4.39833006866697e-06,3.65821187697258e-06,54045422
"19749","2020/05/03",0,0,151,6,1.10297001284669e-05,8.08373216625879e-06,1.50492720963323e-05,3.21739553114736e-06,2.62530097779185e-06,54045422
"19748","2020/05/04",4,0,155,6,1.09543053229402e-05,8.02345704073751e-06,1.49557484384769e-05,3.2384102204065e-06,2.60930975746627e-06,54045422
"19747","2020/05/05",6,0,161,6,1.10480490393832e-05,8.08855283150898e-06,1.50903863916341e-05,2.94638957572736e-06,2.31728911278713e-06,54045422
"19746","2020/05/06",0,0,161,6,1.07463402341187e-05,7.86330844961945e-06,1.46864171954272e-05,2.41449952660502e-06,1.87791383762659e-06,54045422
"19745","2020/05/07",1,0,162,6,1.05287206354667e-05,7.70105331078748e-06,1.4394648854647e-05,1.31039449969491e-06,9.77341313432433e-07,54045422
"19744","2020/05/08",14,0,176,6,1.11556000120187e-05,8.15652749045922e-06,1.52574011150846e-05,2.01810784440646e-06,1.46301920063567e-06,54045422
"19743","2020/05/09",1,0,177,6,1.09442781021503e-05,7.99916798868718e-06,1.49737101841842e-05,2.07993992407962e-06,1.50634832551647e-06,54045422
"19742","2020/05/10",1,0,178,6,1.07233418468134e-05,7.83415916322303e-06,1.46780347409117e-05,2.14018341760105e-06,1.54808886424554e-06,54045422
"19741","2020/05/11",2,0,180,6,1.05657553634165e-05,7.71655911720299e-06,1.44669644467167e-05,1.96540068090366e-06,1.41031203713287e-06,54045422
