"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"18576","2020/04/16",0,0,7,1,17.426255568441,16.426255568441,2.1152173417764e-05,4.40109409861896e-06,0.000101659821460204,0,3.85051224550136e-06,3.62955185441915e-06,4525698
"18575","2020/04/17",0,0,7,1,17.426255568441,16.426255568441,2.05580311119047e-05,4.27747199395802e-06,9.88043039896032e-05,0,3.85051224550136e-06,3.62955185441915e-06,4525698
"18574","2020/04/18",0,0,7,1,17.426255568441,16.426255568441,2.00495277197523e-05,3.9078321055534e-06,0.000102866129078028,0,3.85051224550136e-06,3.62955185441915e-06,4525698
"18573","2020/04/19",0,0,7,1,17.426255568441,16.426255568441,1.96128012311111e-05,3.82271021053857e-06,0.000100625459672728,0,3.85051224550136e-06,3.62955185441915e-06,4525698
"18572","2020/04/20",0,0,7,1,17.426255568441,16.426255568441,1.92360644317495e-05,3.74928084200344e-06,9.86925734335473e-05,0,3.85051224550136e-06,3.62955185441915e-06,4525698
"18571","2020/04/21",0,0,7,1,17.426255568441,16.426255568441,1.89095279652576e-05,3.68563596691077e-06,9.70172450776707e-05,0,3.85051224550136e-06,3.62955185441915e-06,4525698
"18570","2020/04/22",0,0,7,1,0,0,1.86251417714077e-05,3.63020655659065e-06,9.55581729571962e-05,0,0,0,4525698
"18569","2020/04/23",0,0,7,1,0,0,1.83763045825912e-05,3.58170596500042e-06,9.42814886012354e-05,0,0,0,4525698
"18568","2020/04/24",0,0,7,1,0,0,1.81575975043727e-05,3.53907800119396e-06,9.31593898240089e-05,0,0,0,4525698
"18567","2020/04/25",0,0,7,1,0,0,1.79645581224974e-05,3.50145290075904e-06,9.21689817580091e-05,0,0,0,4525698
"18566","2020/04/26",0,0,7,1,0,0,1.77934957824439e-05,3.4681113221515e-06,9.12913291270697e-05,0,0,0,4525698
"18565","2020/04/27",0,0,7,1,0,0,1.7641343130443e-05,3.43845541071332e-06,9.05106945625523e-05,0,0,0,4525698
