"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"25867","2020/04/25",35,2,1360,17,762.19192349583,144.19192349583,0.000369670869784854,0.000329568830772443,0.000414652537520599,51.85306287627,0.000139840926690953,2.64551900662041e-05,5450421
"25866","2020/04/26",13,0,1373,17,753.530699599333,149.530699599333,0.000355359134926808,0.000316774589362451,0.000398643448737742,18.3387761035031,0.000138251834050862,2.74347063464149e-05,5450421
"25865","2020/04/27",6,1,1379,18,696.083263895331,152.083263895331,0.000360644500800345,0.000323518534166765,0.000402030926272944,8.55256429599731,0.000127711834351022,2.79030305907251e-05,5450421
"25864","2020/04/28",2,0,1381,18,670.813323082519,152.813323082519,0.000345864267870942,0.000310231327061872,0.000385589981910645,2.73005918718813,0.000123075506109073,2.8036976057908e-05,5450421
"25863","2020/04/29",3,2,1384,20,549.88804468922,142.88804468922,0.000370334149620574,0.000335790697802776,0.000408431154503709,4.37531147277988,0.000100889095482573,2.62159647280861e-05,5450421
"25862","2020/04/30",7,2,1391,22,476.518992847538,134.518992847538,0.000395372169735776,0.000361677120860251,0.000432206361933453,10.8444381288311,8.74279239800995e-05,2.46804774984424e-05,5450421
"25861","2020/05/01",5,1,1396,23,430.459270056267,123.459270056267,0.000402159142375076,0.000369292242579122,0.000437951186481272,7.85077591311999,7.89772514923649e-05,2.26513273114621e-05,5450421
"25860","2020/05/02",7,0,1403,23,341.540828435656,99.5408284356556,0.000393173118710524,0.000361022272339624,0.000428187159409205,10.6918839344172,6.26632013262197e-05,1.82629614181465e-05,5450421
"25859","2020/05/03",4,1,1407,24,330.840570510651,96.8405705106508,0.000401420546468198,0.000369890343391759,0.000435638448003931,6.22007384876118,6.07000029008128e-05,1.77675395186263e-05,5450421
"25858","2020/05/04",1,0,1408,24,295.169957980174,86.169957980174,0.000392924049943289,0.000362047334492778,0.000426434044156499,1.52102378779542,5.41554419337835e-05,1.5809780194993e-05,5450421
"25857","2020/05/05",5,1,1413,25,242.087840785874,73.0878407858738,0.000402688068427956,0.000372245545674724,0.000435620203756407,7.76652337087463,4.44163562385133e-05,1.34095771291564e-05,5450421
"25856","2020/05/06",8,0,1421,25,142.951917321726,46.9519173217264,0.000397830508769636,0.000367744272637359,0.000430378188007785,12.2074244021884,2.62276835719161e-05,8.61436526127548e-06,5450421
"25855","2020/05/07",8,0,1429,25,103.111445690909,34.1114456909094,0.000393685021986202,0.000363902824669184,0.000425904626261619,12.0125912454531,1.891806994192e-05,6.25849740614705e-06,5450421
"25854","2020/05/08",16,1,1445,26,109.393320245694,37.3933202456943,0.000407959772754551,0.00037822746415766,0.000440029326153243,24.620650658288,2.00706184431798e-05,6.86062971019932e-06,5450421
"25853","2020/05/09",10,0,1455,26,116.018639123602,40.0186391236018,0.000405176407804674,0.000375638712218225,0.000437036748614258,15.1778831739049,2.12861793838681e-05,7.34230238794432e-06,5450421
"25852","2020/05/10",0,0,1455,26,113.288579936414,39.2885799364137,0.000399920247596593,0.000370757817325238,0.000431376486115787,0,2.07852897852136e-05,7.20835692076148e-06,5450421
