"","date","cases","deaths","cum_cases","cum_deaths","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"23426","2020/04/26",31,6,1307,83,2968.91987346174,2564.91987346174,0.00301365260282036,0.00294424849765077,0.00308469275529309,209.677183314027,0.00101210739245659,0.000874383437624596,2933404
"23425","2020/04/27",64,1,1371,84,3236.3925144976,2788.3925144976,0.00307793328012613,0.00300764308593671,0.00314986619296866,421.476728608261,0.00110328905070614,0.000950565457229076,2933404
"23424","2020/04/28",18,0,1389,84,2946.23534686658,2531.23534686658,0.00300711559228202,0.00293822144180608,0.00307762514311624,114.312115423703,0.00100437421741655,0.000862900352923287,2933404
"23423","2020/04/29",11,2,1400,86,2464.0748625762,2107.0748625762,0.00299619102694675,0.00292892496581399,0.0030650019289454,69.0567329823619,0.000840005284841842,0.000718303671289804,2933404
"23422","2020/04/30",33,0,1433,86,2473.44841934432,2108.44841934432,0.00296640472730422,0.00289962329483816,0.00303472420774022,200.387226279744,0.000843200738576862,0.000718771917998448,2933404
"23421","2020/05/01",106,6,1539,92,2773.93764999088,2352.93764999088,0.00330296007164408,0.00323321183441518,0.00337421294786531,667.332765637497,0.000945637781223071,0.000802118511460024,2933404
"23420","2020/05/02",36,2,1575,94,2326.40533263392,1964.40533263392,0.0033486778437387,0.00327926695764554,0.00341955792132205,224.526285292217,0.000793073621169781,0.000669667503226259,2933404
"23419","2020/05/03",182,1,1757,95,3175.21003208849,2670.21003208849,0.00365714086485102,0.00358192267269241,0.00373393859318297,1111.25363617312,0.00108243188871648,0.000910276945176487,2933404
"23418","2020/05/04",51,2,1808,97,3482.52163015236,2926.52163015236,0.00371394374496135,0.00363889330216914,0.00379054206742344,307.311598063869,0.00118719468240732,0.000997653794074173,2933404
"23417","2020/05/05",35,0,1843,97,3685.64708086744,3094.64708086744,0.00364627779747544,0.00357237158157827,0.00372171300570264,203.125450715083,0.00125644032696057,0.00105496790788703,2933404
"23416","2020/05/06",81,2,1924,99,4147.06789636817,3475.06789636817,0.0037363310701362,0.00366186818577688,0.00381230813274165,461.420815500731,0.0014137390882293,0.0011846536980137,2933404
"23415","2020/05/07",44,0,1968,99,4230.9152044121,3538.9152044121,0.00367519211869926,0.00360172939787996,0.00375015322286555,241.034666421483,0.00144232270918431,0.00120641930140277,2933404
"23414","2020/05/08",63,3,2031,102,4363.2910747039,3639.2910747039,0.00375916134246291,0.00368595932098727,0.00383381713363092,342.053053605831,0.00148744975963212,0.00124063752374508,2933404
"23413","2020/05/09",125,5,2156,107,4627.2719213092,3842.2719213092,0.00403039344641362,0.00395524635461625,0.00410696828376697,685.457575213561,0.00157744106209346,0.0013098338726303,2933404
"23412","2020/05/10",17,1,2173,108,4603.57327071502,3819.57327071502,0.00394849563399324,0.00387533520058687,0.00402303722509028,90.613464829522,0.00156936217129145,0.00130209588270658,2933404
"23411","2020/05/11",25,3,2198,111,4666.41583630349,3868.41583630349,0.00395328646526269,0.00388174713284396,0.00402614424422309,131.899298570831,0.001590785257095,0.00131874635621397,2933404
"23410","2020/05/12",58,2,2256,113,4766.48265809016,3943.48265809016,0.00398398121136466,0.00391293103758552,0.0040563214991646,300.454048066415,0.00162489812453046,0.00134433670169201,2933404
"23409","2020/05/13",43,1,2299,114,4316.30204173182,3556.30204173182,0.00395788132540218,0.00388772607951829,0.00402930254487176,217.152149279157,0.00147143115702161,0.00121234648951587,2933404
"23408","2020/05/14",30,1,2329,115,4239.70512072726,3485.70512072726,0.00391499079142574,0.00384602354416425,0.00398519476569635,147.929364287652,0.00144531919937631,0.00118827993714035,2933404
"23407","2020/05/15",98,2,2427,117,3605.13513469222,2935.13513469222,0.0040244086798941,0.00395452643600709,0.00409552584484933,476.683650138086,0.00122899373379603,0.00100059014533703,2933404
"23406","2020/05/16",115,5,2542,122,3864.05990541394,3130.05990541394,0.00426681277022093,0.00419546415844862,0.00433937474580939,566.236368785591,0.00131726141554792,0.00106704017087791,2933404
"23405","2020/05/17",47,0,2589,122,3885.58402486699,3139.58402486699,0.0042185956900591,0.00414791869845864,0.00429047695722637,224.649570168134,0.00132459900677404,0.00107028695156446,2933404
"23404","2020/05/18",57,1,2646,123,3690.70149405485,2968.70149405485,0.00421796238835828,0.00414770862756961,0.00428940610518005,266.538284688588,0.00125816338085543,0.00101203294672498,2933404
"23403","2020/05/19",64,1,2710,124,3742.49266859705,3000.49266859705,0.00422694732921407,0.00415695185769992,0.00429812139653596,292.825840963681,0.0012758190377449,0.00102287058604851,2933404
"23402","2020/05/20",95,0,2805,124,3822.53907142669,3048.53907142669,0.00424866191130809,0.00417818725386614,0.00432032528458296,422.099456435468,0.00130310692677404,0.00103924964697215,2933404
"23401","2020/05/21",61,1,2866,125,3402.50033424001,2692.50033424001,0.00425114790147258,0.00418104389054388,0.00432242735386445,265.418838026883,0.00115991535234833,0.000917875728757446,2933404
"23400","2020/05/22",47,1,2913,126,3512.17764601475,2772.17764601475,0.00423186395177035,0.00416248438181625,0.00430239992840023,200.29077660426,0.0011973044442616,0.000945037794321801,2933404
"23399","2020/05/23",117,0,3030,126,3864.98468617404,3032.98468617404,0.00427920986551602,0.00420894753535763,0.00435064512429798,484.706338730121,0.00131757667412127,0.00103394714337815,2933404
"23398","2020/05/24",70,1,3100,127,3848.80717623641,3004.80717623641,0.00429173395335362,0.00422168033370059,0.0043629500271099,284.276538128785,0.00131206174677488,0.00102434140549219,2933404
"23397","2020/05/25",89,0,3189,127,3983.17813448001,3093.17813448001,0.00429384646753712,0.00422365801624062,0.00436520130557148,351.523107522758,0.00135786892445773,0.00105446714277338,2933404
"23396","2020/05/26",71,2,3260,129,4112.2998801092,3181.2998801092,0.0043365790345696,0.00426661398328626,0.00440769139105098,277.051109916842,0.00140188664094997,0.00108450792325544,2933404
"23395","2020/05/27",64,0,3324,129,3878.55426964705,2981.55426964705,0.00430134902511524,0.00423185819346853,0.00437198095730507,242.93803967594,0.00132220255704535,0.00101641446921292,2933404
"23394","2020/05/28",73,0,3397,129,3581.98373705022,2726.98373705022,0.0042778616631577,0.00420866030143326,0.00434820087591348,269.665836188756,0.00122110140200607,0.000929631151062116,2933404
"23393","2020/05/29",89,2,3486,131,3682.42923475277,2785.42923475277,0.00434086097603013,0.00427154471026206,0.00441130206783327,325.095067870692,0.00125534336039385,0.000949555272561425,2933404
"23392","2020/05/30",161,1,3647,132,3993.18270448717,2992.18270448717,0.00445793120202858,0.0043871572089003,0.00452984692723182,577.291754422985,0.00136127949116016,0.00102003771198484,2933404
"23391","2020/05/31",71,1,3718,133,3950.21801498188,2942.21801498188,0.00446044197310235,0.00439003461606865,0.00453197852303724,249.861151458394,0.00134663279077205,0.00100300470544865,2933404
"23390","2020/06/01",58,3,3776,136,3731.31832441635,2760.31832441635,0.00450977957587171,0.00443995297251988,0.00458070433376838,203.199765869932,0.00127200969399931,0.000940994941172899,2933404
"23389","2020/06/02",97,0,3873,136,3796.7804945751,2789.7804945751,0.00450376501720373,0.00443395026634482,0.00457467903601666,330.881008185637,0.00129432580530166,0.000951038620856555,2933404
"23388","2020/06/03",62,2,3935,138,3805.53072771298,2783.53072771298,0.00452285496994169,0.00445359598149823,0.00459319102229039,209.041009742136,0.00129730876746366,0.000948908069844105,2933404
"23387","2020/06/04",88,2,4023,140,3614.18222479476,2621.18222479476,0.0045718626391328,0.00450269141076406,0.00464209648947529,293.357835811901,0.00123207789475802,0.000893563322609077,2933404
"23386","2020/06/05",485,0,4508,140,4906.64150229627,3498.64150229627,0.00499607813351228,0.00492040941615994,0.00507291052532775,1576.73581563029,0.00167267839762142,0.00119268996097921,2933404
"23385","2020/06/06",112,1,4620,141,4912.24341659093,3481.24341659093,0.00502194963597529,0.00494629971455733,0.00509875656585227,357.125021817417,0.00167458809512461,0.00118675893828158,2933404
"23384","2020/06/07",295,1,4915,142,5554.58428673776,3899.58428673776,0.00522192148192196,0.0051436693361413,0.00530136410047976,919.391980063675,0.00189356266192374,0.00132937170834217,2933404
"23383","2020/06/08",70,0,4985,142,5522.80041377137,3861.80041377137,0.00512619235462144,0.00504927896397925,0.00520427733227681,211.154166709552,0.00188272751171382,0.00131649115286247,2933404
"23382","2020/06/09",61,0,5046,142,5430.89529016801,3781.89529016801,0.00501281080746703,0.00493750217306139,0.00508926807740077,177.760712585392,0.00185139697435744,0.00128925142604565,2933404
