Timestamp,Περιοχή,"Με πόσα περίπου άτομα έρχεστε σε επαφή τώρα (στο σπίτι, τηλέφωνο, τηλεδιάσκεψη κτλ.) ?","Πόσα από τα στενά σας πρόσωπα (συγγενείς, φίλοι, συνεργάτες) γνωρίζετε ότι έχουν προσβληθεί (ή έχουν συμπτώματα) του #COVID19 και βρίσκονται στην Κύπρο τώρα?"
2020/03/20 3:16:28 PM GMT+1,,7,0
2020/03/20 3:17:13 PM GMT+1,,2,0
2020/03/20 3:17:23 PM GMT+1,,10,0
2020/03/20 3:17:31 PM GMT+1,,10,0
2020/03/20 3:18:04 PM GMT+1,,1,1
2020/03/20 3:18:08 PM GMT+1,,10,0
2020/03/20 3:18:17 PM GMT+1,,4,0
2020/03/20 3:18:34 PM GMT+1,,,0
2020/03/20 3:18:35 PM GMT+1,,10,0
2020/03/20 3:18:58 PM GMT+1,,15,0
2020/03/20 3:19:12 PM GMT+1,,10,0
2020/03/20 3:19:21 PM GMT+1,,30,0
2020/03/20 3:19:42 PM GMT+1,,8,0
2020/03/20 3:19:56 PM GMT+1,,4,0
2020/03/20 3:20:13 PM GMT+1,,20,0
2020/03/20 3:20:22 PM GMT+1,,1,0
2020/03/20 3:20:36 PM GMT+1,,30,0
2020/03/20 3:21:00 PM GMT+1,,5,0
2020/03/20 3:21:11 PM GMT+1,,30,0
2020/03/20 3:21:11 PM GMT+1,,20,0
2020/03/20 3:21:17 PM GMT+1,,25,0
2020/03/20 3:21:30 PM GMT+1,,15,1
2020/03/20 3:22:12 PM GMT+1,,8,0
2020/03/20 3:22:14 PM GMT+1,,10,0
2020/03/20 3:22:18 PM GMT+1,,25,0
2020/03/20 3:22:39 PM GMT+1,,15,0
2020/03/20 3:23:13 PM GMT+1,,20,2
2020/03/20 3:23:20 PM GMT+1,,24,0
2020/03/20 3:24:24 PM GMT+1,,5,0
2020/03/20 3:24:32 PM GMT+1,,100,3
2020/03/20 3:24:43 PM GMT+1,,3,0
2020/03/20 3:24:59 PM GMT+1,,4,0
2020/03/20 3:25:03 PM GMT+1,,3,0
2020/03/20 3:25:15 PM GMT+1,,25,0
2020/03/20 3:25:34 PM GMT+1,,10,0
2020/03/20 3:25:50 PM GMT+1,,20,0
2020/03/20 3:25:59 PM GMT+1,,15,0
2020/03/20 3:26:14 PM GMT+1,,15,0
2020/03/20 3:26:25 PM GMT+1,,3,0
2020/03/20 3:26:36 PM GMT+1,,50,0
2020/03/20 3:26:44 PM GMT+1,,6,0
2020/03/20 3:26:56 PM GMT+1,,50,0
2020/03/20 3:27:03 PM GMT+1,,3,0
2020/03/20 3:27:04 PM GMT+1,,20,0
2020/03/20 3:27:44 PM GMT+1,,10,0
2020/03/20 3:27:51 PM GMT+1,,12,0
2020/03/20 3:28:20 PM GMT+1,,40,0
2020/03/20 3:28:44 PM GMT+1,,3,0
2020/03/20 3:29:10 PM GMT+1,,,0
2020/03/20 3:29:28 PM GMT+1,,4,0
2020/03/20 3:29:55 PM GMT+1,,1,0
2020/03/20 3:30:20 PM GMT+1,,100,0
2020/03/20 3:30:30 PM GMT+1,,15,0
2020/03/20 3:30:51 PM GMT+1,,10,0
2020/03/20 3:31:35 PM GMT+1,,3,0
2020/03/20 3:31:36 PM GMT+1,,5,0
2020/03/20 3:31:41 PM GMT+1,,50,1
2020/03/20 3:32:38 PM GMT+1,,40,0
2020/03/20 3:32:45 PM GMT+1,,15,0
2020/03/20 3:32:52 PM GMT+1,,2,0
2020/03/20 3:32:53 PM GMT+1,,15,0
2020/03/20 3:33:07 PM GMT+1,,4,0
2020/03/20 3:33:26 PM GMT+1,,10,0
2020/03/20 3:34:23 PM GMT+1,,3,0
2020/03/20 3:34:48 PM GMT+1,,1,0
2020/03/20 3:34:55 PM GMT+1,,6,0
2020/03/20 3:34:58 PM GMT+1,,0,0
2020/03/20 3:35:56 PM GMT+1,,30,0
2020/03/20 3:36:24 PM GMT+1,,8,0
2020/03/20 3:38:43 PM GMT+1,,15,0
2020/03/20 3:39:02 PM GMT+1,,50,0
2020/03/20 3:39:03 PM GMT+1,,3,0
2020/03/20 3:39:23 PM GMT+1,,20,0
2020/03/20 3:40:26 PM GMT+1,,20,0
2020/03/20 3:42:02 PM GMT+1,,5,0
2020/03/20 3:42:26 PM GMT+1,,5,0
2020/03/20 3:42:50 PM GMT+1,,5,0
2020/03/20 3:42:54 PM GMT+1,,5,0
2020/03/20 3:44:32 PM GMT+1,,9,0
2020/03/20 3:45:47 PM GMT+1,,9,0
2020/03/20 3:46:22 PM GMT+1,,2,0
2020/03/20 3:46:28 PM GMT+1,,6,0
2020/03/20 3:46:30 PM GMT+1,,10,0
2020/03/20 3:47:56 PM GMT+1,,,0
2020/03/20 3:48:59 PM GMT+1,,5,0
2020/03/20 3:49:03 PM GMT+1,,5,0
2020/03/20 3:51:09 PM GMT+1,,4,0
2020/03/20 3:51:23 PM GMT+1,,10,0
2020/03/20 3:52:41 PM GMT+1,,3,0
2020/03/20 3:53:24 PM GMT+1,,30,0
2020/03/20 3:54:45 PM GMT+1,,6,0
2020/03/20 3:55:08 PM GMT+1,,2,0
2020/03/20 3:57:02 PM GMT+1,,1,1
2020/03/20 3:57:05 PM GMT+1,,15,0
