"Timestamp","Por favor, elige una comunidad autónoma.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/28 7:24:59 PM GMT+1","Comunidad de Madrid","6","0"
"2020/03/28 7:26:39 PM GMT+1","Comunidad de Madrid","300","5"
"2020/03/28 7:29:56 PM GMT+1","Comunidad de Madrid","150","20"
"2020/03/28 7:35:12 PM GMT+1","Extremadura","100","7"
"2020/03/28 7:39:26 PM GMT+1","Comunidad de Madrid","100","10"
"2020/03/28 7:45:14 PM GMT+1","País Vasco","3","1"
"2020/03/28 7:49:32 PM GMT+1","Todo el país","2000","10"
"2020/03/28 7:54:50 PM GMT+1","País Vasco","100","20"
"2020/03/28 7:57:56 PM GMT+1","Comunidad de Madrid","80","6"
"2020/03/28 7:58:19 PM GMT+1","Todo el país","1000","500"
"2020/03/28 7:59:03 PM GMT+1","Comunidad de Madrid","150","6"
"2020/03/28 8:01:06 PM GMT+1","Comunidad de Madrid","100","12"
"2020/03/28 8:01:51 PM GMT+1","Castilla-La Mancha","100","15"
"2020/03/28 8:03:59 PM GMT+1","Cantabria","65","02"
"2020/03/28 8:06:20 PM GMT+1","Comunidad de Madrid","50","20"
"2020/03/28 8:10:38 PM GMT+1","País Vasco","20","0"
"2020/03/28 8:11:44 PM GMT+1","Comunidad de Madrid","200","0"
"2020/03/28 8:14:24 PM GMT+1","Cataluña","100","2"
"2020/03/28 8:14:47 PM GMT+1","Todo el país","100","12"
"2020/03/28 8:16:02 PM GMT+1","Comunidad de Madrid","150","1"
"2020/03/28 8:26:30 PM GMT+1","Comunidad de Madrid","100","4"
"2020/03/28 8:30:23 PM GMT+1","Castilla-La Mancha","2","2"
"2020/03/28 8:34:18 PM GMT+1","Aragón","100","3"
"2020/03/28 8:46:32 PM GMT+1","Todo el país","100","0"
"2020/03/28 8:46:48 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/28 8:50:41 PM GMT+1","Comunidad de Madrid","400","6"
"2020/03/28 8:54:30 PM GMT+1","Comunidad de Madrid","150","11"
"2020/03/28 8:55:02 PM GMT+1","Comunidad de Madrid","100","1"
"2020/03/28 8:57:19 PM GMT+1","País Vasco","100","0"
"2020/03/28 9:22:20 PM GMT+1","Comunidad de Madrid","28","4"
"2020/03/28 9:29:59 PM GMT+1","Comunidad de Madrid","200","7"
"2020/03/28 9:39:23 PM GMT+1","Comunidad de Madrid","150","1"
"2020/03/28 9:47:39 PM GMT+1","Comunidad Foral de Navarra","50","4"
"2020/03/28 9:49:25 PM GMT+1","Comunidad Valenciana","60","1"
"2020/03/28 9:59:46 PM GMT+1","Andalucía","30","4"
"2020/03/28 10:12:35 PM GMT+1","País Vasco","200","10"
"2020/03/28 10:32:35 PM GMT+1","Castilla-La Mancha","4000","10"
"2020/03/28 10:33:10 PM GMT+1","Comunidad de Madrid","100","4"
"2020/03/28 11:06:22 PM GMT+1","Cantabria","300","1"
"2020/03/28 11:07:30 PM GMT+1","Comunidad de Madrid","300","13"
"2020/03/28 11:11:30 PM GMT+1","Comunidad de Madrid","100","3"
"2020/03/28 11:27:38 PM GMT+1","Comunidad de Madrid","100","3"
"2020/03/28 11:32:45 PM GMT+1","País Vasco","15","1"
"2020/03/28 11:33:28 PM GMT+1","Cataluña","100","4"
"2020/03/28 11:40:56 PM GMT+1","Comunidad de Madrid","100","7"
"2020/03/28 11:42:24 PM GMT+1","Comunidad de Madrid","200","20"
"2020/03/28 11:48:28 PM GMT+1","Comunidad de Madrid","250","3"
"2020/03/28 11:57:30 PM GMT+1","Comunidad de Madrid","200","1"
