"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","sumreach_regs_rhs","p_w_regs","p_m_regs","population_country","p_w_country_only","p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country"
"12","IT","IT25","ITPV",545888,NA,NA,0,10060574,0.120689655172414,0.103947368421053,116,0,0,0,0.120689655172414,0.103947368421053,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"13","IT","IT25","ITCO",599204,NA,NA,0,10060574,0.120689655172414,0.103947368421053,116,0,0,0,0.120689655172414,0.103947368421053,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"14","IT","IT25","ITCR",358955,NA,NA,0,10060574,0.120689655172414,0.103947368421053,116,0,0,0,0.120689655172414,0.103947368421053,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"15","IT","IT25","ITMI",3250315,NA,NA,0,10060574,0.120689655172414,0.103947368421053,116,0,0,0,0.120689655172414,0.103947368421053,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"16","IT","IT25","ITVA",890768,NA,NA,0,10060574,0.120689655172414,0.103947368421053,116,0,0,0,0.120689655172414,0.103947368421053,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"17","IT","IT25","ITMB",873935,NA,NA,0,10060574,0.120689655172414,0.103947368421053,116,0,0,0,0.120689655172414,0.103947368421053,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"18","IT","IT25","ITLC",337380,NA,NA,0,10060574,0.120689655172414,0.103947368421053,116,0,0,0,0.120689655172414,0.103947368421053,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"19","IT","IT25","ITSO",181095,NA,NA,0,10060574,0.120689655172414,0.103947368421053,116,0,0,0,0.120689655172414,0.103947368421053,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"20","IT","IT25","ITMN",412292,NA,NA,0,10060574,0.120689655172414,0.103947368421053,116,0,0,0,0.120689655172414,0.103947368421053,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"21","IT","IT25","ITLO",230198,NA,NA,0,10060574,0.120689655172414,0.103947368421053,116,0,0,0,0.120689655172414,0.103947368421053,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"22","IT","IT32","ITBZ",531178,NA,NA,0,1072276,0.15,0.15,20,0,0,0,0.15,0.15,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"23","IT","IT32","ITTN",541098,NA,NA,0,1072276,0.15,0.15,20,0,0,0,0.15,0.15,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"24","IT","IT34","ITRO",234937,NA,NA,0,4905854,0,0,50,0,0,0,0,0,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"25","IT","IT34","ITVE",853338,NA,NA,0,4905854,0,0,50,0,0,0,0,0,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"26","IT","IT34","ITPD",937908,NA,NA,0,4905854,0,0,50,0,0,0,0,0,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"27","IT","IT34","ITVI",862418,NA,NA,0,4905854,0,0,50,0,0,0,0,0,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"28","IT","IT34","ITBL",202950,NA,NA,0,4905854,0,0,50,0,0,0,0,0,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"29","IT","IT34","ITTV",887806,NA,NA,0,4905854,0,0,50,0,0,0,0,0,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"30","IT","IT34","ITVR",926497,NA,NA,0,4905854,0,0,50,0,0,0,0,0,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
"31","IT","IT36","ITPN",312533,NA,NA,0,1215220,0,0,40,0,0,0,0,0,60453010,0.0347322720694645,0.02625,691,0.0379882191381213,0.0360294967600558,854,0.0365319994459259,0.031655624746335
