"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","n_obs_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"11","ES","ESAR","ESZ",964693,NA,NA,NA,NA,0,0,1319291,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.08,0.08,0,0,200,2,0.049905225665911,0.0524600261226115,3038,0.00394226683584544,0.00319876948854239,3013,0.0517640752232976,0.0541610745399919,0.00369687207482175,0.00299965529691199
"12","ES","ESAS","ESO",1022800,NA,NA,NA,NA,0,0,1022800,0,0,NA,NA,25,1,0,0,0,0,0,0,0,0,NA,NA,47026208,0.08,0.08,0,0,200,2,0.049905225665911,0.0524600261226115,3038,0.00394226683584544,0.00319876948854239,3013,0.0517640752232976,0.0541610745399919,0.00369687207482175,0.00299965529691199
"13","ES","ESCB","ESS",581078,NA,NA,NA,NA,0,0,581078,0.0333333333333333,0.0333333333333333,0,0,150,1,0,0,0,0,0,0,0.0333333333333333,0.0333333333333333,0,0,47026208,0.08,0.08,0,0,200,2,0.049905225665911,0.0524600261226115,3038,0.00394226683584544,0.00319876948854239,3013,0.0517640752232976,0.0541610745399919,0.00369687207482175,0.00299965529691199
"14","ES","ESCE","ESCE",84777,NA,NA,NA,NA,0,0,84777,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.08,0.08,0,0,200,2,0.049905225665911,0.0524600261226115,3038,0.00394226683584544,0.00319876948854239,3013,0.0517640752232976,0.0541610745399919,0.00369687207482175,0.00299965529691199
"15","ES","ESCL","ESAV",157640,NA,NA,NA,NA,0,0,2399548,0.0714285714285714,0.0714285714285714,0,0,70,1,0,0,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0,47026208,0.08,0.08,0,0,200,2,0.049905225665911,0.0524600261226115,3038,0.00394226683584544,0.00319876948854239,3013,0.0517640752232976,0.0541610745399919,0.00369687207482175,0.00299965529691199
"16","ES","ESCL","ESLE",460001,NA,NA,NA,NA,0,0,2399548,0.0714285714285714,0.0714285714285714,0,0,70,1,0,0,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0,47026208,0.08,0.08,0,0,200,2,0.049905225665911,0.0524600261226115,3038,0.00394226683584544,0.00319876948854239,3013,0.0517640752232976,0.0541610745399919,0.00369687207482175,0.00299965529691199
"17","ES","ESCL","ESP",160980,NA,NA,NA,NA,0,0,2399548,0.0714285714285714,0.0714285714285714,0,0,70,1,0,0,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0,47026208,0.08,0.08,0,0,200,2,0.049905225665911,0.0524600261226115,3038,0.00394226683584544,0.00319876948854239,3013,0.0517640752232976,0.0541610745399919,0.00369687207482175,0.00299965529691199
"18","ES","ESCL","ESSG",153129,NA,NA,NA,NA,0,0,2399548,0.0714285714285714,0.0714285714285714,0,0,70,1,0,0,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0,47026208,0.08,0.08,0,0,200,2,0.049905225665911,0.0524600261226115,3038,0.00394226683584544,0.00319876948854239,3013,0.0517640752232976,0.0541610745399919,0.00369687207482175,0.00299965529691199
"19","ES","ESCL","ESSA",330119,NA,NA,NA,NA,0,0,2399548,0.0714285714285714,0.0714285714285714,0,0,70,1,0,0,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0,47026208,0.08,0.08,0,0,200,2,0.049905225665911,0.0524600261226115,3038,0.00394226683584544,0.00319876948854239,3013,0.0517640752232976,0.0541610745399919,0.00369687207482175,0.00299965529691199
"20","ES","ESCL","ESZA",172539,NA,NA,NA,NA,0,0,2399548,0.0714285714285714,0.0714285714285714,0,0,70,1,0,0,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0,47026208,0.08,0.08,0,0,200,2,0.049905225665911,0.0524600261226115,3038,0.00394226683584544,0.00319876948854239,3013,0.0517640752232976,0.0541610745399919,0.00369687207482175,0.00299965529691199
