"Timestamp","Por favor, elige una comunidad autónoma.","¿Cuánta gente conoces en ese área geográfica?","Por lo que sabes, ¿cuánta de esta gente ha presentado síntomas compatible con COVID-19 (o han sido diagnosticados con la enfermedad)?"
"2020/03/22 4:41:09 PM GMT+1","Comunidad de Madrid","100","20"
"2020/03/22 4:42:12 PM GMT+1","Comunidad de Madrid","3000","30"
"2020/03/22 4:44:03 PM GMT+1","Comunidad de Madrid","100","8"
"2020/03/22 4:44:21 PM GMT+1","Comunidad de Madrid","100","30"
"2020/03/22 4:44:23 PM GMT+1","Comunidad de Madrid","70","15"
"2020/03/22 4:45:13 PM GMT+1","Comunidad de Madrid","1000","6"
"2020/03/22 4:46:46 PM GMT+1","Andalucía","50","4"
"2020/03/22 4:47:02 PM GMT+1","Castilla y León","240","0"
"2020/03/22 4:48:23 PM GMT+1","Andalucía","30","0"
"2020/03/22 4:49:19 PM GMT+1","Comunidad de Madrid","100","2"
"2020/03/22 4:50:39 PM GMT+1","Comunidad de Madrid","70","10"
"2020/03/22 4:51:26 PM GMT+1","Castilla y León","240","0"
"2020/03/22 4:51:54 PM GMT+1","Comunidad de Madrid","200","1"
"2020/03/22 4:55:37 PM GMT+1","Comunidad de Madrid","500","0"
"2020/03/22 4:58:00 PM GMT+1","Comunidad de Madrid","200","10"
"2020/03/22 4:59:12 PM GMT+1","Comunidad de Madrid","120","2"
"2020/03/22 5:00:08 PM GMT+1","Comunidad de Madrid","1000 ","10"
"2020/03/22 5:09:08 PM GMT+1","Comunidad de Madrid","50","1"
"2020/03/22 5:10:50 PM GMT+1","Comunidad de Madrid","200","5"
"2020/03/22 5:11:10 PM GMT+1","Comunidad de Madrid","200","3"
"2020/03/22 5:12:45 PM GMT+1","Comunidad de Madrid","100","9"
"2020/03/22 5:23:09 PM GMT+1","Comunidad de Madrid","70","4"
"2020/03/22 5:23:25 PM GMT+1","Comunidad de Madrid","105","8"
"2020/03/22 5:32:48 PM GMT+1","Castilla y León","100","5"
"2020/03/22 5:33:49 PM GMT+1","Comunidad de Madrid","300","4"
"2020/03/22 5:43:40 PM GMT+1","Comunidad de Madrid","30","2"
"2020/03/22 5:45:42 PM GMT+1","Todo el país","150","5"
"2020/03/22 5:53:32 PM GMT+1","Castilla y León","50","0"
"2020/03/22 5:56:38 PM GMT+1","Comunidad de Madrid","+100","7"
"2020/03/22 5:57:07 PM GMT+1","Andalucía","250","8"
"2020/03/22 6:03:39 PM GMT+1","Castilla y León","90","0"
"2020/03/22 6:12:06 PM GMT+1","Comunidad de Madrid","100","4"
"2020/03/22 6:12:45 PM GMT+1","Comunidad de Madrid","50","3"
"2020/03/22 6:27:35 PM GMT+1","Todo el país","80","6"
"2020/03/22 6:37:28 PM GMT+1","Castilla-La Mancha","1000","0"
"2020/03/22 6:41:15 PM GMT+1","País Vasco","100","0"
"2020/03/22 6:41:57 PM GMT+1","Comunidad de Madrid","100","6"
"2020/03/22 6:45:41 PM GMT+1","Cataluña","50","3"
"2020/03/22 6:51:23 PM GMT+1","Comunidad de Madrid","200","2"
"2020/03/22 6:52:06 PM GMT+1","Comunidad de Madrid","100","3"
"2020/03/22 6:53:37 PM GMT+1","Cataluña","100","3"
"2020/03/22 6:55:25 PM GMT+1","Todo el país","100","0"
"2020/03/22 6:55:58 PM GMT+1","Cataluña","200","0"
"2020/03/22 6:56:26 PM GMT+1","Comunidad de Madrid","100","2"
"2020/03/22 6:58:36 PM GMT+1","Castilla-La Mancha","7","4"
"2020/03/22 7:01:56 PM GMT+1","Comunidad de Madrid","500","7"
"2020/03/22 7:02:12 PM GMT+1","Comunidad de Madrid","40","3"
"2020/03/22 7:03:04 PM GMT+1","Galicia","200","1"
"2020/03/22 7:08:23 PM GMT+1","Comunidad de Madrid","100","3"
"2020/03/22 7:10:17 PM GMT+1","País Vasco","10000","1"
"2020/03/22 7:12:18 PM GMT+1","Cataluña","1000","0"
"2020/03/22 7:13:20 PM GMT+1","Comunidad de Madrid","200","1"
"2020/03/22 7:14:10 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/22 7:14:14 PM GMT+1","Comunidad de Madrid","100","3"
"2020/03/22 7:15:03 PM GMT+1","Galicia","100","0"
"2020/03/22 7:16:26 PM GMT+1","Comunidad de Madrid","20","0"
"2020/03/22 7:17:17 PM GMT+1","Comunidad de Madrid","150","0"
"2020/03/22 7:17:32 PM GMT+1","Todo el país","80","0"
"2020/03/22 7:24:18 PM GMT+1","Comunidad de Madrid","100","4"
"2020/03/22 7:24:51 PM GMT+1","Comunidad Valenciana","50","1"
"2020/03/22 7:28:50 PM GMT+1","Comunidad de Madrid","300","0"
"2020/03/22 7:29:05 PM GMT+1","Comunidad de Madrid","100","5"
"2020/03/22 7:32:55 PM GMT+1","Andalucía","1200","0"
"2020/03/22 7:33:01 PM GMT+1","Extremadura","1000","1"
"2020/03/22 7:34:42 PM GMT+1","Extremadura","100 ","02"
"2020/03/22 7:35:06 PM GMT+1","Comunidad de Madrid","100","5"
"2020/03/22 7:36:43 PM GMT+1","Comunidad de Madrid","80","1"
"2020/03/22 7:43:57 PM GMT+1","Comunidad de Madrid","40","1"
"2020/03/22 7:44:29 PM GMT+1","Extremadura","100","2"
"2020/03/22 7:46:17 PM GMT+1","País Vasco","50","0"
"2020/03/22 7:49:28 PM GMT+1","Comunidad de Madrid","100","6"
"2020/03/22 7:52:51 PM GMT+1","Extremadura","150","12"
"2020/03/22 7:54:00 PM GMT+1","Comunidad de Madrid","100","5"
"2020/03/22 7:54:34 PM GMT+1","Comunidad de Madrid","100","5"
"2020/03/22 7:56:16 PM GMT+1","Castilla-La Mancha","500","0"
"2020/03/22 7:58:02 PM GMT+1","Comunidad de Madrid","200","3"
"2020/03/22 8:06:34 PM GMT+1","Castilla-La Mancha","1000","3"
"2020/03/22 8:08:41 PM GMT+1","Comunidad de Madrid","100","4 "
"2020/03/22 8:19:11 PM GMT+1","Comunidad de Madrid","300","2"
"2020/03/22 8:19:13 PM GMT+1","Comunidad de Madrid","300","3"
"2020/03/22 8:20:28 PM GMT+1","Todo el país","100","0"
"2020/03/22 8:21:12 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/22 8:22:04 PM GMT+1","Comunidad de Madrid","100","4"
"2020/03/22 8:41:06 PM GMT+1","Galicia","40","6"
"2020/03/22 8:45:58 PM GMT+1","Comunidad de Madrid","100","0"
"2020/03/22 8:50:21 PM GMT+1","Castilla-La Mancha","100","3"
"2020/03/22 9:06:56 PM GMT+1","Comunidad Valenciana","40","0"
"2020/03/22 9:07:46 PM GMT+1","Comunidad Foral de Navarra","100","2"
"2020/03/22 9:08:53 PM GMT+1","Cataluña","30","1"
"2020/03/22 10:04:54 PM GMT+1","Todo el país","100","3"
"2020/03/22 10:07:23 PM GMT+1","Comunidad de Madrid","100","1"
"2020/03/22 10:07:29 PM GMT+1","Comunidad de Madrid","1000","1"
"2020/03/22 10:09:39 PM GMT+1","Comunidad de Madrid","1000","20"
"2020/03/22 10:15:27 PM GMT+1","Andalucía","100","0"
"2020/03/22 10:18:04 PM GMT+1","Comunidad de Madrid","3","2"
"2020/03/22 10:25:31 PM GMT+1","Comunidad de Madrid","500","500"
"2020/03/22 10:35:07 PM GMT+1","Comunidad de Madrid","2","1"
"2020/03/22 10:37:35 PM GMT+1","Comunidad de Madrid","500","04"
"2020/03/22 10:49:57 PM GMT+1","País Vasco","100","0"
"2020/03/22 11:10:29 PM GMT+1","Comunidad de Madrid","30","3"
"2020/03/22 11:31:59 PM GMT+1","Comunidad de Madrid","200","1"
"2020/03/22 11:33:30 PM GMT+1","Todo el país","100","4"
"2020/03/22 11:52:58 PM GMT+1","Todo el país","1000","1"
"2020/03/23 12:05:07 AM GMT+1","Andalucía","1","1"
"2020/03/23 12:18:49 AM GMT+1","Comunidad de Madrid","100","5"
"2020/03/23 12:43:40 AM GMT+1","Castilla-La Mancha","30","0"
"2020/03/23 12:45:56 AM GMT+1","Comunidad de Madrid","30017","17"
"2020/03/23 3:55:20 AM GMT+1","Comunidad de Madrid","100","6"
"2020/03/23 6:05:55 AM GMT+1","Cataluña","50","3"
"2020/03/23 7:53:27 AM GMT+1","Comunidad de Madrid","100","1"
"2020/03/23 8:10:17 AM GMT+1","Comunidad de Madrid","10","1"
"2020/03/23 8:22:43 AM GMT+1","Cataluña","50","4"
"2020/03/23 8:43:00 AM GMT+1","Comunidad de Madrid","150","4"
"2020/03/23 9:21:49 AM GMT+1","Comunidad de Madrid","200","10"
"2020/03/23 9:26:25 AM GMT+1","Comunidad de Madrid","100","20"
"2020/03/23 9:29:55 AM GMT+1","Comunidad de Madrid","100","3"
"2020/03/23 9:56:09 AM GMT+1","Comunidad de Madrid","200","12"
"2020/03/23 10:18:26 AM GMT+1","Comunidad de Madrid","100","5"
"2020/03/23 10:48:41 AM GMT+1","Comunidad de Madrid","50","0"
"2020/03/23 11:02:02 AM GMT+1","Comunidad de Madrid","100","3"
