"","countrycode","regioncode","population_region","estprop_regs","meanprop_regs","sumreach_regs","meanprop_regs_agg","estprop_regs_agg","population_country","estprop_country","meanprop_country","sumreach_country","estprop_country_rhs","meanprop_country_rhs","sumreach_country_rhs","meanprop_country_agg","estprop_country_agg"
"28","US","USNC",10488084,0,0,150,0,0,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"29","US","USND",762062,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"30","US","USNE",1934408,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"31","US","USNH",1359711,0,0,100,0,0,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"32","US","USNJ",8882190,0.015,0.015,200,0.015,0.015,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"33","US","USNM",2096829,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"34","US","USNV",3080156,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"35","US","USNY",19453561,NA,NA,90,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"36","US","USOH",11689100,NA,NA,20,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"37","US","USOK",3956971,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"38","US","USOR",4217737,0.133333333333333,0.133333333333333,75,0.133333333333333,0.133333333333333,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"39","US","USPA",12801989,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"40","US","USRI",1059361,0,0,150,0,0,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"41","US","USSC",5148714,0,0,100,0,0,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"42","US","USSD",884659,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"43","US","USTN",6833174,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"44","US","USTX",28995881,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"45","US","USUT",3205958,NA,NA,12,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"46","US","USVA",8535519,NA,NA,70,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"47","US","USVT",623989,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"48","US","USWA",7614893,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"49","US","USWI",5822434,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
"50","US","USWV",1792147,NA,NA,0,NA,NA,328300544,0.00454545454545455,0.0166666666666667,220,0.0108101052113417,0.0115516115927097,2875,0.0119152019372236,0.0103647988635242
